Stock_Ticker,Decision_Date
AKAM,"May 13, 2015"
AAPL,"May 13, 2015"
CSCO,"May 13, 2015"
EBAY,"May 13, 2015"
FB,"May 13, 2015"
HPQ,"May 13, 2015"
INTC,"May 13, 2015"
INTU,"May 13, 2015"
LLNW,"May 13, 2015"
MU,"May 13, 2015"
MYGN,"May 13, 2015"
NTAP,"May 13, 2015"
SYMC,"May 13, 2015"
YHOO,"May 13, 2015"
ZNGA,"May 13, 2015"
AKAM,"May 13, 2015"
LLNW,"May 13, 2015"
AKAM,"December 20, 2010"
AKAM,"May 13, 2015"
AKAM,"December 20, 2010"
AKAM,"May 13, 2015"
LLNW,"December 20, 2010"
LLNW,"May 13, 2015"
LLNW,"December 20, 2010"
LLNW,"May 13, 2015"
HPQ,"November 14, 2014"
RHT,"November 14, 2014"
TWTR,"November 14, 2014"
CGNX,"December 16, 2013"
BGCA,"May 10, 2013"
FB,"May 10, 2013"
HPQ,"May 10, 2013"
IBM,"May 10, 2013"
INTU,"May 10, 2013"
PHG,"May 10, 2013"
OSTK,"May 10, 2013"
RHT,"May 10, 2013"
TWTR,"May 10, 2013"
ZNGA,"May 10, 2013"
CTXS,"April 11, 2013"
GWRE,"September 5, 2013"
AMZN,"June 23, 2015"
CSCO,"June 23, 2015"
HPQ,"June 23, 2015"
INTC,"June 23, 2015"
MSFT,"June 23, 2015"
RHT,"June 23, 2015"
YHOO,"June 23, 2015"
ADBE,"September 14, 2015"
F,"September 14, 2015"
HPQ,"September 14, 2015"
LPL,"September 14, 2015"
MSFT,"September 14, 2015"
NFLX,"September 14, 2015"
NOK,"September 14, 2015"
ABT,"June 26, 2013"
BSX,"June 26, 2013"
ABT,"March 20, 2013"
DE,"February 20, 2013"
WILN,"December 11, 2012"
IPXL,"February 1, 2013"
IPXL,"February 14, 2013"
MON,"June 10, 2013"
SUPN,"June 18, 2012"
BSX,"February 12, 2013"
IPXL,"September 7, 2012"
NVDA,"February 8, 2013"
NVO,"December 20, 2013"
WMT,"April 16, 2013"
AMZN,"March 19, 2013"
COST,"March 19, 2013"
EBAY,"March 19, 2013"
HPQ,"March 19, 2013"
MSFT,"March 19, 2013"
ODP,"March 19, 2013"
TGT,"March 19, 2013"
AXP,"February 12, 2013"
SNPS,"March 12, 2013"
PFE,"February 6, 2014"
DAL,"April 26, 2013"
JBLU,"April 26, 2013"
EVBG,"August 30, 2013"
TWTR,"August 30, 2013"
OSTK,"May 15, 2013"
AMZN,"July 22, 2013"
YHOO,"July 22, 2013"
CTXS,"March 19, 2013"
HPQ,"July 18, 2013"
NOK,"July 18, 2013"
HON,"February 12, 2014"
AMZN,"February 26, 2014"
CAR,"February 26, 2014"
GRPN,"February 26, 2014"
NFLX,"February 26, 2014"
TWTR,"February 26, 2014"
YHOO,"February 26, 2014"
CSCO,"August 29, 2013"
AMZN,"June 11, 2015"
PIR,"November 7, 2013"
BKS,"May 13, 2013"
CL,"May 29, 2013"
SEAC,"October 10, 2013"
ACTG,"December 3, 2013"
CME,"January 27, 2014"
MS,"January 27, 2014"
CME,"January 27, 2014"
CME,"January 27, 2014"
BAC,"January 27, 2014"
BAC,"January 27, 2014"
MS,"January 27, 2014"
MS,"January 27, 2014"
FDS,"January 27, 2014"
FDS,"January 27, 2014"
FDS,"January 27, 2014"
EW,"January 22, 2014"
YHOO,"June 20, 2014"
SYMC,"November 13, 2013"
AMZN,"January 10, 2014"
NOK,"January 10, 2014"
WDC,"January 10, 2014"
GE,"May 8, 2014"
INTC,"June 6, 2014"
MSFT,"November 8, 2013"
HPQ,"December 12, 2013"
BMY,"June 12, 2014"
LLY,"July 1, 2014"
PFE,"July 1, 2014"
BBY,"January 15, 2014"
AAPL,"July 7, 2014"
HPQ,"July 7, 2014"
INTC,"July 7, 2014"
DD,"May 9, 2014"
MON,"May 9, 2014"
AMD,"January 14, 2014"
INTC,"January 14, 2014"
TXN,"January 14, 2014"
NVDA,"January 14, 2014"
F,"February 18, 2015"
BIG,"January 17, 2014"
NOK,"October 22, 2014"
LPL,"June 23, 2014"
AAPL,"July 14, 2014"
JNJ,"January 14, 2014"
NATI,"August 11, 2014"
AMZN,"December 30, 2014"
BKS,"December 30, 2014"
AMZN,"December 30, 2014"
DAL,"June 24, 2014"
JBLU,"June 24, 2014"
ABBV,"August 21, 2014"
WILN,"August 1, 2014"
BDX,"July 7, 2014"
MSFT,"November 6, 2014"
OSTK,"July 11, 2014"
XRX,"July 11, 2014"
AAPL,"July 17, 2014"
CSCO,"August 22, 2014"
INTC,"August 22, 2014"
PRGO,"August 15, 2014"
SYMC,"September 15, 2014"
FB,"July 16, 2014"
PHG,"December 11, 2014"
V,"August 13, 2014"
SNA,"October 14, 2014"
AAPL,"June 27, 2014"
BWA,"June 10, 2014"
MOD,"June 10, 2014"
PFE,"April 9, 2015"
AMZN,"December 30, 2014"
AMZN,"December 30, 2014"
ENR,"January 12, 2015"
BKS,"December 30, 2014"
BCR,"January 13, 2015"
KMB,"July 10, 2014"
RF,"September 25, 2014"
USB,"September 25, 2014"
NVTA,"June 12, 2015"
NTRA,"June 12, 2015"
NVS,"June 12, 2015"
AMZN,"November 10, 2014"
NTRA,"June 12, 2015"
JAKK,"June 11, 2014"
AMGN,"December 5, 2014"
CSCO,"August 8, 2014"
ADBE,"December 4, 2014"
MSFT,"December 4, 2014"
NOK,"February 18, 2015"
AMZN,"November 26, 2014"
NOK,"November 26, 2014"
MSI,"December 5, 2014"
TXN,"January 8, 2015"
MMM,"July 9, 2015"
AMGN,"July 9, 2015"
CAT,"July 9, 2015"
EBAY,"July 9, 2015"
LLY,"July 9, 2015"
FB,"July 9, 2015"
GE,"July 9, 2015"
HPQ,"July 9, 2015"
ITW,"July 9, 2015"
INTC,"July 9, 2015"
JNJ,"July 9, 2015"
LLNW,"July 9, 2015"
PFE,"July 9, 2015"
RHT,"July 9, 2015"
XLNX,"July 9, 2015"
COF,"September 4, 2015"
LMT,"August 6, 2014"
MSFT,"May 22, 2015"
INTC,"March 9, 2015"
CSCO,"January 21, 2015"
MMM,"February 4, 2015"
MMM,"July 8, 2015"
CAT,"February 4, 2015"
CAT,"July 8, 2015"
LLY,"February 4, 2015"
LLY,"July 8, 2015"
GE,"February 4, 2015"
GE,"July 8, 2015"
ITW,"February 4, 2015"
ITW,"July 8, 2015"
JNJ,"February 4, 2015"
JNJ,"July 8, 2015"
PFE,"February 4, 2015"
PFE,"July 8, 2015"
SBUX,"January 5, 2015"
T,"March 19, 2015"
TEX,"December 3, 2014"
TDA,"May 6, 2015"
ALG,"May 26, 2016"
DE,"May 26, 2016"
AAPL,"December 11, 2014"
DGLY,"February 10, 2015"
WDC,"January 9, 2015"
CELG,"June 17, 2015"
CELG,"June 17, 2015"
GILD,"December 8, 2014"
BELFA,"December 16, 2015"
CDW,"June 30, 2015"
ODP,"June 30, 2015"
CNXN,"June 30, 2015"
CSCO,"March 6, 2015"
MSI,"March 6, 2015"
COF,"July 6, 2015"
MU,"March 12, 2015"
MU,"March 12, 2015"
MU,"March 12, 2015"
SNPS,"February 10, 2016"
ATHX,"May 7, 2015"
SNPS,"February 10, 2016"
MSTR,"March 12, 2015"
ILMN,"July 17, 2015"
ILMN,"July 17, 2015"
ILMN,"July 17, 2015"
HPQ,"November 12, 2015"
LLNW,"November 12, 2015"
CSCO,"June 15, 2015"
KYO,"February 9, 2015"
KYO,"February 9, 2015"
EA,"March 17, 2015"
EA,"March 17, 2015"
ZNGA,"March 17, 2015"
LKQ,"February 18, 2015"
NUAN,"February 22, 2016"
NUAN,"February 22, 2016"
ATRS,"November 17, 2014"
MMM,"February 10, 2016"
ESS,"July 15, 2015"
CME,"April 14, 2015"
ABBV,"April 8, 2015"
BDC,"April 17, 2015"
BDC,"April 17, 2015"
INFN,"June 29, 2015"
ALG,"May 26, 2016"
DE,"May 26, 2016"
MSI,"April 13, 2015"
AAPL,"May 4, 2016"
LPL,"September 15, 2015"
MMM,"January 13, 2016"
BMY,"January 13, 2016"
LLY,"January 13, 2016"
ITW,"January 13, 2016"
IDCC,"January 13, 2016"
PFE,"January 13, 2016"
AMZN,"April 14, 2015"
HPQ,"August 10, 2015"
HPQ,"August 10, 2015"
FUN,"April 17, 2015"
NVS,"May 21, 2015"
NVS,"May 21, 2015"
FB,"February 25, 2016"
FOSL,"March 31, 2016"
FOSL,"March 31, 2016"
BONT,"March 31, 2016"
BONT,"March 31, 2016"
GE,"December 17, 2015"
HPQ,"May 26, 2016"
AAPL,"May 26, 2016"
HPQ,"May 26, 2016"
USB,"August 7, 2015"
CTXS,"July 15, 2015"
NVS,"May 21, 2015"
NVS,"May 21, 2015"
AVID,"March 1, 2016"
HLIT,"March 1, 2016"
AAPL,"December 15, 2015"
LLNW,"October 9, 2015"
NTAP,"October 9, 2015"
XLNX,"October 9, 2015"
NVS,"May 21, 2015"
NVS,"May 21, 2015"
FB,"June 6, 2016"
PFE,"January 13, 2016"
MSFT,"April 1, 2016"
NVS,"May 21, 2015"
GLW,"September 16, 2015"
HPQ,"December 2, 2015"
GLW,"September 16, 2015"
AAPL,"December 15, 2015"
AAPL,"December 15, 2015"
AAPL,"October 7, 2016"
GMED,"October 19, 2015"
AAPL,"October 7, 2016"
BMY,"April 8, 2016"
BMY,"April 8, 2016"
JKHY,"October 13, 2015"
AAPL,"August 1, 2016"
WILN,"August 1, 2016"
AMZN,"December 17, 2015"
BKS,"December 17, 2015"
ADBE,"April 8, 2016"
INTC,"January 8, 2016"
CLCT,"March 11, 2016"
AMZN,"November 9, 2015"
AAPL,"November 9, 2015"
WTW,"November 9, 2015"
GEVO,"February 10, 2016"
SQ,"October 16, 2015"
MSFT,"February 17, 2016"
RPRX,"January 7, 2016"
FB,"November 13, 2015"
AAPL,"May 17, 2016"
COF,"May 17, 2016"
FB,"May 17, 2016"
SFLY,"May 17, 2016"
TRIP,"May 17, 2016"
TWTR,"May 17, 2016"
YHOO,"May 17, 2016"
AAPL,"May 17, 2016"
