Stock_Ticker,Decision_Date
ITGR,"February 9, 2017"
FB,"May 17, 2016"
FDX,"May 9, 2017"
ODP,"June 30, 2015"
ADSK,"April 12, 2016"
EA,"December 7, 2016"
AAPL,"May 17, 2016"
MMM,"January 13, 2016"
DD,"August 19, 2016"
AAPL,"August 1, 2016"
OSTK,"July 11, 2014"
INTC,"January 14, 2014"
ALG,"May 26, 2016"
HPQ,"July 9, 2015"
LLY,"July 8, 2015"
UEIC,"October 17, 2016"
CSCO,"August 8, 2014"
EVBG,"August 30, 2013"
XLNX,"October 9, 2015"
KMB,"July 10, 2014"
ATHX,"May 7, 2015"
SUPN,"December 12, 2016"
HPQ,"September 14, 2015"
NATI,"August 11, 2014"
AMZN,"November 26, 2014"
MMM,"February 10, 2016"
TWTR,"May 17, 2016"
MSFT,"November 6, 2014"
YHOO,"July 22, 2013"
YHOO,"May 17, 2016"
XRX,"February 13, 2017"
F,"April 21, 2017"
TXN,"April 25, 2016"
PRSS,"November 10, 2016"
RTEC,"February 3, 2016"
NVS,"May 21, 2015"
GE,"December 17, 2015"
YHOO,"February 26, 2014"
PFE,"July 1, 2014"
AMZN,"November 9, 2015"
SYMC,"November 13, 2013"
CSCO,"May 31, 2016"
ILMN,"July 26, 2016"
NK,"May 3, 2017"
CNXN,"June 30, 2015"
SBH,"April 25, 2016"
JAKK,"June 11, 2014"
CBS,"September 30, 2016"
XLNX,"April 12, 2017"
PHG,"May 10, 2013"
MMM,"July 8, 2015"
MSI,"March 6, 2015"
TXN,"January 14, 2014"
AVX,"February 9, 2017"
ORCL,"June 6, 2017"
AAPL,"November 5, 2015"
AAPL,"May 26, 2016"
HPQ,"December 28, 2016"
GE,"July 8, 2015"
F,"March 27, 2017"
DEPO,"February 21, 2017"
ADBE,"April 8, 2016"
BAC,"January 27, 2014"
AAPL,"October 7, 2016"
BDC,"April 17, 2015"
TXN,"January 8, 2015"
AAPL,"December 9, 2016"
BDSI,"August 10, 2016"
MSFT,"July 11, 2016"
MSFT,"February 17, 2016"
NVDA,"April 25, 2016"
HPE,"March 14, 2017"
MMM,"July 9, 2015"
ADBE,"March 14, 2016"
CBS,"February 1, 2016"
ATHN,"April 12, 2017"
AET,"January 18, 2017"
XLNX,"February 1, 2016"
MSFT,"April 1, 2016"
AMZN,"December 17, 2015"
EBAY,"March 19, 2013"
SNPS,"October 11, 2016"
OSTK,"May 10, 2013"
DD,"May 9, 2014"
HPQ,"April 25, 2016"
TGT,"February 10, 2016"
LLY,"July 1, 2014"
JBLU,"June 24, 2014"
NOK,"November 26, 2014"
TRIP,"May 17, 2016"
HPQ,"May 10, 2013"
TDA,"May 6, 2015"
HPQ,"November 14, 2014"
SPPI,"October 2, 2015"
CDW,"June 30, 2015"
AAPL,"August 16, 2016"
AVID,"March 1, 2016"
V,"February 9, 2016"
FB,"July 16, 2014"
NUVA,"May 10, 2017"
LLY,"February 28, 2017"
CSCO,"April 7, 2017"
ZNGA,"March 17, 2015"
TWTR,"May 10, 2013"
BMY,"January 13, 2016"
GILD,"December 8, 2014"
AMZN,"February 10, 2017"
BBY,"January 15, 2014"
ACTG,"December 3, 2013"
AAPL,"December 11, 2014"
BMY,"June 12, 2014"
MSFT,"April 7, 2017"
HPQ,"April 5, 2016"
PANW,"May 4, 2017"
TWTR,"February 17, 2017"
NVS,"April 12, 2017"
IDCC,"January 13, 2016"
AMZN,"September 23, 2016"
GLW,"September 16, 2015"
INTU,"May 10, 2013"
ILMN,"July 17, 2015"
YHOO,"January 13, 2017"
MON,"June 10, 2013"
TWTR,"November 14, 2014"
QTM,"June 6, 2017"
AAPL,"July 11, 2016"
DAL,"April 26, 2013"
CLCT,"March 11, 2016"
AMD,"January 14, 2014"
INFN,"June 29, 2015"
F,"September 14, 2015"
BMY,"April 8, 2016"
DEPO,"March 24, 2016"
INTC,"January 8, 2016"
MSTR,"March 12, 2015"
LPL,"September 15, 2015"
TILE,"February 8, 2016"
JNJ,"July 8, 2015"
NTRA,"June 12, 2015"
TGT,"March 19, 2013"
ITW,"January 13, 2016"
GE,"July 9, 2015"
RPRX,"January 7, 2016"
INTC,"June 23, 2015"
NVTA,"June 12, 2015"
CTXS,"April 7, 2017"
IBM,"May 10, 2013"
FB,"November 13, 2015"
NVS,"April 4, 2017"
ADBE,"April 7, 2017"
BKS,"December 17, 2015"
INTC,"March 9, 2015"
GRPN,"February 26, 2014"
WTW,"November 9, 2015"
KODK,"December 21, 2016"
NVDA,"January 14, 2014"
LLY,"January 12, 2017"
RF,"September 25, 2014"
AMZN,"July 22, 2013"
PIR,"November 7, 2013"
TEX,"December 3, 2014"
TWTR,"August 30, 2013"
RCII,"April 25, 2016"
INTC,"April 25, 2016"
BKS,"April 25, 2016"
CL,"May 29, 2013"
AAPL,"June 27, 2014"
NUAN,"February 22, 2016"
NFLX,"November 7, 2016"
CTXS,"April 11, 2013"
BSX,"June 26, 2013"
CPIX,"January 26, 2017"
NTIP,"July 11, 2016"
ATHN,"March 10, 2017"
HPQ,"February 9, 2016"
BMRN,"June 14, 2016"
BGCA,"May 10, 2013"
AAPL,"April 14, 2017"
TWX,"February 1, 2016"
AAPL,"November 9, 2015"
LLY,"January 13, 2016"
AMZN,"December 7, 2016"
RHT,"November 14, 2014"
AAPL,"April 25, 2016"
INTC,"August 22, 2014"
FIS,"October 13, 2016"
XRX,"July 11, 2014"
F,"February 18, 2015"
FLIR,"January 10, 2017"
ZNGA,"May 10, 2013"
NFLX,"February 26, 2014"
ITW,"July 8, 2015"
ADBE,"September 14, 2015"
TIME,"December 16, 2015"
HPQ,"December 2, 2015"
ABT,"March 20, 2013"
AMD,"January 18, 2017"
FUN,"April 17, 2015"
ABT,"June 26, 2013"
SNPS,"October 17, 2016"
DGLY,"January 13, 2017"
HON,"February 12, 2014"
BDX,"May 9, 2016"
EW,"January 22, 2014"
AAPL,"May 4, 2016"
CSCO,"June 15, 2015"
HPQ,"August 9, 2016"
INTC,"December 28, 2016"
BBRY,"February 27, 2017"
EBAY,"May 23, 2017"
JNJ,"January 14, 2014"
AAPL,"July 7, 2014"
BCR,"January 13, 2015"
CME,"April 14, 2015"
MSI,"April 13, 2015"
ABBV,"August 21, 2014"
ADBE,"December 4, 2014"
HLIT,"March 1, 2016"
IPXL,"February 1, 2013"
MSFT,"January 18, 2017"
MSFT,"November 8, 2013"
GRPN,"February 17, 2017"
CAR,"February 26, 2014"
AMZN,"June 11, 2015"
COST,"January 20, 2016"
SNPS,"March 12, 2013"
JKHY,"October 13, 2015"
MSFT,"March 19, 2013"
AAPL,"July 14, 2014"
SLAB,"November 8, 2016"
MS,"January 27, 2014"
BBBY,"January 24, 2017"
SPLS,"February 8, 2016"
V,"August 13, 2014"
PFE,"February 6, 2014"
HPQ,"May 26, 2016"
AMZN,"April 14, 2015"
BWA,"June 10, 2014"
SQ,"October 16, 2015"
IBM,"March 7, 2017"
MSI,"December 5, 2014"
NWY,"April 25, 2016"
MSFT,"August 12, 2016"
TWTR,"May 12, 2017"
MSFT,"September 14, 2015"
MSFT,"May 9, 2016"
SNPS,"February 10, 2016"
GWRE,"September 5, 2013"
AMZN,"January 10, 2014"
EA,"March 17, 2015"
NOK,"September 14, 2015"
SQ,"April 14, 2016"
DE,"May 26, 2016"
BKS,"May 13, 2013"
ODP,"March 19, 2013"
BKS,"December 30, 2014"
BAX,"May 9, 2016"
HSNI,"January 6, 2017"
HPQ,"November 12, 2015"
NTAP,"October 9, 2015"
DGLY,"February 10, 2015"
F,"February 8, 2016"
CSCO,"June 23, 2015"
NTGR,"December 28, 2016"
LLY,"July 9, 2015"
MSFT,"December 7, 2016"
ACTG,"September 12, 2016"
T,"March 19, 2015"
AAPL,"November 8, 2016"
HON,"October 11, 2016"
BBBY,"April 7, 2016"
INTC,"July 9, 2015"
EA,"April 6, 2017"
MT,"May 16, 2017"
WDC,"January 10, 2014"
CSCO,"March 6, 2015"
AAPL,"May 9, 2017"
LPL,"September 14, 2015"
BBBY,"December 16, 2015"
CAT,"July 8, 2015"
EBAY,"July 9, 2015"
LLNW,"October 9, 2015"
ATRS,"November 17, 2014"
PFE,"July 9, 2015"
TMUS,"September 23, 2016"
MSFT,"January 19, 2016"
NFLX,"September 14, 2015"
FB,"June 6, 2016"
LMT,"August 6, 2014"
KYO,"February 9, 2015"
GMED,"October 19, 2015"
USB,"August 7, 2015"
AMGN,"July 9, 2015"
CELG,"July 14, 2016"
NVDA,"March 15, 2017"
CSCO,"August 22, 2014"
WILN,"August 1, 2016"
WILN,"August 1, 2014"
F,"March 7, 2017"
ACOR,"March 18, 2016"
GEVO,"February 10, 2016"
INTC,"June 6, 2014"
BELFA,"December 16, 2015"
LKQ,"February 18, 2015"
YHOO,"June 23, 2015"
SYMC,"September 15, 2014"
JBLU,"April 26, 2013"
SFLY,"May 17, 2016"
HOG,"April 25, 2016"
AMZN,"June 23, 2015"
AMZN,"November 10, 2014"
COF,"July 6, 2015"
HPQ,"March 19, 2013"
CSCO,"January 21, 2015"
LEA,"December 20, 2016"
FNSR,"January 11, 2017"
PFE,"April 9, 2015"
ADSK,"March 15, 2017"
FB,"January 7, 2016"
MSFT,"May 22, 2015"
ITW,"July 9, 2015"
USB,"August 8, 2016"
CRDS,"June 6, 2017"
AMGN,"July 5, 2016"
IPXL,"September 7, 2012"
HPQ,"June 23, 2015"
RHT,"June 23, 2015"
RHT,"July 9, 2015"
WDC,"January 9, 2015"
MSFT,"December 4, 2014"
NVS,"June 12, 2015"
CSCO,"August 29, 2013"
CSCO,"June 6, 2017"
HON,"March 14, 2016"
AMGN,"December 5, 2014"
CAMT,"February 3, 2016"
INTC,"July 7, 2014"
NTAP,"June 6, 2017"
OSTK,"May 15, 2013"
AAPL,"February 17, 2017"
NOK,"January 10, 2014"
AMZN,"May 23, 2017"
COST,"March 19, 2013"
AMZN,"December 30, 2014"
FB,"July 9, 2015"
PHG,"December 11, 2014"
MU,"March 12, 2015"
JNJ,"July 9, 2015"
WMT,"April 16, 2013"
AAPL,"December 15, 2015"
JNPR,"October 6, 2016"
AAPL,"January 27, 2017"
SHPG,"October 13, 2016"
LPL,"June 23, 2014"
MON,"May 9, 2014"
ABBV,"April 8, 2015"
AAPL,"July 17, 2014"
TWTR,"February 26, 2014"
LH,"July 26, 2016"
AAPL,"May 11, 2017"
COF,"May 17, 2016"
IBM,"May 26, 2017"
HPQ,"August 10, 2015"
BIG,"January 17, 2014"
AXP,"February 12, 2013"
NVDA,"February 8, 2013"
YHOO,"June 20, 2014"
EBAY,"January 18, 2017"
HPQ,"March 14, 2017"
BDX,"July 7, 2014"
AMZN,"February 26, 2014"
SEAC,"October 10, 2013"
BSX,"February 12, 2013"
CTXS,"July 15, 2015"
NOK,"July 18, 2013"
NOK,"February 18, 2015"
SNA,"October 14, 2014"
BSX,"April 4, 2017"
WILN,"December 11, 2012"
IBM,"April 7, 2017"
IBM,"February 8, 2016"
LLNW,"February 1, 2016"
ADBE,"February 9, 2016"
HPQ,"July 7, 2014"
XLNX,"July 9, 2015"
ENR,"January 12, 2015"
AMTD,"October 11, 2016"
DE,"February 20, 2013"
CTXS,"March 19, 2013"
LLNW,"November 12, 2015"
GRMN,"August 8, 2016"
PFE,"July 8, 2015"
HPQ,"July 18, 2013"
NTAP,"August 9, 2016"
HPE,"August 9, 2016"
ALNY,"March 23, 2017"
AMZN,"March 19, 2013"
DAL,"June 24, 2014"
CGNX,"December 16, 2013"
COF,"September 4, 2015"
CALL,"April 6, 2017"
CAT,"July 9, 2015"
CELG,"June 17, 2015"
GE,"May 8, 2014"
MSFT,"November 30, 2016"
MU,"May 9, 2017"
SUPN,"June 18, 2012"
MOD,"June 10, 2014"
MDRX,"April 12, 2017"
FB,"March 28, 2016"
PFE,"January 13, 2016"
MSFT,"June 23, 2015"
COF,"March 7, 2017"
USB,"September 25, 2014"
FB,"May 10, 2013"
LLNW,"July 9, 2015"
RHT,"May 10, 2013"
FDS,"January 27, 2014"
SBUX,"January 5, 2015"
FB,"February 17, 2017"
PRGO,"August 15, 2014"
CME,"January 27, 2014"
FB,"February 25, 2016"
CBSH,"December 9, 2016"
BBRY,"January 10, 2017"
