Stock_Ticker,Decision_Date,CAR,CAR/Sigma,Bootsratp p-value
ERIE,2017-03-07,-0.007376487754099005,-0.9934384305704752,0.14115
WMT,2016-08-05,0.0032855826100303418,0.264488240872693,0.65034
EA,2016-09-13,-0.0001240186490872354,-0.006603923731566338,0.52802
LLNW,2015-04-27,-0.025672162640272618,-1.0424416388520104,0.13712
CSCO,2013-10-02,-0.008337640779320112,-0.6021622249703527,0.16064
MSFT,2013-05-01,0.013537664374045997,1.4403235451785257,0.94651
FB,2015-09-17,-0.0047289482977875205,-0.38793073725291877,0.36057
EBAY,2017-02-07,0.00019533503948906028,0.012447002530894815,0.51928
FB,2016-05-17,-0.021524187459305025,-1.196692656213717,0.08891
INTC,2016-09-30,0.008437281248819178,0.8902736467849094,0.84118
FDX,2017-05-09,-0.006630840304955581,-0.7013047843636921,0.18289
ODP,2015-06-30,-0.010431379053772047,-0.3658777920492055,0.28455
LYV,2016-11-29,0.005983833710799082,0.5155712380540578,0.74001
ADSK,2016-04-12,0.004073275925855293,0.20379619817429176,0.65623
EA,2016-12-07,-0.010894150301946164,-0.7019935717219478,0.1744
CAT,2015-02-04,0.020994965765543886,2.1103072615094978,0.98799
TXN,2015-08-13,0.00821428421212574,0.7821324292323852,0.85953
NOK,2015-11-10,-4.396155090466945e-05,-0.0025419720573463763,0.49659
AAPL,2016-05-17,0.02678234020867813,2.0103209312322954,0.98245
MSFT,2017-04-20,-0.003872125355066094,-0.5393079784222985,0.24442
ATVI,2016-09-13,0.009545669932463623,0.5188927434767512,0.74335
BDC,2015-11-05,0.01113358619537132,0.5846298365991424,0.78686
MMM,2016-01-13,-0.0035981943208652258,-0.424502989332924,0.24337
NUVA,2017-02-07,-0.0075913775781083215,-0.5363080458330618,0.24877
INTC,2015-05-13,-0.009468347447061865,-0.6992138302729815,0.1711
AAPL,2016-08-01,-0.0017649443349335118,-0.14518292225908402,0.40769
INTC,2015-11-16,0.0017026991596874683,0.132959391048303,0.6101
NVO,2013-12-20,0.021791809963036816,1.7800758139505868,0.9765
OSTK,2014-07-11,-0.016263185694252065,-0.4905140327451886,0.2425
INTC,2014-01-14,0.009507782810960314,0.8543898214338498,0.87517
ALG,2016-05-26,1.9146212415526408e-05,0.0009856396112385406,0.52642
HPQ,2015-07-09,0.0117603512324788,0.8938071051570329,0.88049
LLY,2015-07-08,0.0210356500807505,1.8616675221867618,0.97097
TESO,2015-10-30,-0.026056157166228076,-1.0329928108805142,0.10732
TG,2013-08-06,-0.060191408430370526,-2.984008648154914,0.01248
BSX,2013-05-13,0.013259924587462087,1.0799969522440311,0.86527
ABT,2013-04-04,0.012177920179377622,1.3046679499216103,0.94112
CSCO,2014-08-08,0.0010846777374670501,0.11756268812477867,0.5906
XLNX,2015-10-09,0.0035572484494482276,0.3202544687261022,0.7051
KMB,2014-07-10,0.0020635780464059285,0.2504026286298434,0.63292
ATHX,2015-05-07,-0.05939090167251304,-1.105452619438657,0.03495
JNJ,2014-09-17,0.004418913418303728,0.6865651537406349,0.76955
INTU,2016-05-12,0.0043947997119350825,0.4191907858925459,0.69729
SUPN,2016-12-12,0.0191459113199303,0.721402990365542,0.80922
HPQ,2015-09-14,-0.009474032647299272,-0.6865281146138217,0.16011
NATI,2014-08-11,-0.00035491867982347623,-0.03427885912273573,0.46675
ORCL,2015-11-12,-0.017695245435503573,-1.8742326806314817,0.02935
AMZN,2014-11-26,0.001505075889478438,0.0845279322955226,0.49001
MMM,2016-02-10,0.005458924352807913,0.6005620190282813,0.84267
ALLY,2017-02-21,-0.0036581350700575295,-0.2484633721859821,0.35034
TWTR,2016-05-17,0.0055676778471743914,0.16724808703717664,0.59998
BONT,2016-03-31,-0.015506193096306407,-0.18325486621704518,0.3608
NOK,2016-08-05,-0.03374758759142189,-1.7930538822824833,0.023
XLNX,2016-02-12,0.021150685815052025,1.77229187685232,0.96387
YHOO,2013-07-22,-0.022010745319834546,-1.7188498706004713,0.04198
YHOO,2016-05-17,0.01431791850268833,0.7813247915586383,0.81709
PKI,2015-07-31,0.012132179707723435,1.6009774282826132,0.92961
NKE,2016-02-11,0.029895456815332188,2.488706821031291,0.9822
EBAY,2015-09-17,0.019184343015464123,1.7894819827343853,0.94111
CTXS,2014-10-14,0.0006164240377063111,0.04497192257104048,0.51528
AMZN,2015-02-09,0.0049189579655178825,0.29692124786406193,0.67728
