Stock_Ticker,Decision_Date,MFCAR,MFCAR/Sigma
AKAM,2015-05-13,0.019008820838515156,1.9862745764594938
AAPL,2015-05-13,0.013922293915194445,1.0719758509239661
CSCO,2015-05-13,-0.021737224339045805,-2.7341866233571492
EBAY,2015-05-13,0.017142537801268953,1.6364923383186474
FB,2015-05-13,0.024004456184659569,2.1448120077563368
HPQ,2015-05-13,0.012299528400334934,0.56225132658337906
INTC,2015-05-13,0.006337078288675785,0.30444261657516958
INTU,2015-05-13,-0.0023346140983970236,-0.20541280395755482
LLNW,2015-05-13,-0.006692268877818177,-0.2400392889942301
MU,2015-05-13,-0.026675679047340112,-1.7062486032277624
MYGN,2015-05-13,-0.0074405880579301526,-0.45051652842203249
NTAP,2015-05-13,0.010849807372330898,1.2690995632008066
SYMC,2015-05-13,0.0099861082991423329,1.2700468365492339
YHOO,2015-05-13,0.0032450777035425427,0.26327506960600289
ZNGA,2015-05-13,0.012608606301926492,0.8426001940333997
AKAM,2015-05-13,0.019008820838515156,1.9862745764594938
LLNW,2015-05-13,-0.006692268877818177,-0.2400392889942301
AKAM,2010-12-20,0.035253559338018367,1.5615874544851878
AKAM,2015-05-13,0.019008820838515156,1.9862745764594938
AKAM,2010-12-20,0.035253559338018367,1.5615874544851878
AKAM,2015-05-13,0.019008820838515156,1.9862745764594938
LLNW,2010-12-20,-0.0097935519505438356,-0.26330458325969575
LLNW,2015-05-13,-0.006692268877818177,-0.2400392889942301
LLNW,2010-12-20,-0.0097935519505438356,-0.26330458325969575
LLNW,2015-05-13,-0.006692268877818177,-0.2400392889942301
HPQ,2014-11-14,0.014384774649265832,1.8384662760250801
RHT,2014-11-14,0.024690644333321493,2.1052224723795785
TWTR,2014-11-14,-0.021250876785512993,-1.1437150339567865
BGCA,2013-05-10,0.0072206375982396126,0.94380003442170324
FB,2013-05-10,0.010212426453154393,0.52727264987932754
HPQ,2013-05-10,-0.018433536395220822,-0.73605360200819636
IBM,2013-05-10,-0.01124554233498002,-1.9664858130514571
INTU,2013-05-10,-0.021618416146895015,-2.3756595386159494
PHG,2013-05-10,0.0068784553258240139,0.59697434240718361
OSTK,2013-05-10,0.033098083800712351,1.5017835584573744
RHT,2013-05-10,0.0044807574481942544,0.27555073116610201
ZNGA,2013-05-10,0.064524918338184689,1.6392400728676817
CTXS,2013-04-11,0.021660982278951489,1.0934782979154687
GWRE,2013-09-05,0.059414400954789066,3.3507806049102329
AMZN,2015-06-23,-0.0089795363827725183,-0.34913762127984826
CSCO,2015-06-23,-0.0030880339904771443,-0.42348826118386945
HPQ,2015-06-23,0.0070505389269513944,0.76361803803635009
INTC,2015-06-23,0.0038632807769752673,0.30983713184502953
MSFT,2015-06-23,6.1680972965301797e-05,0.0028948780098644739
RHT,2015-06-23,-0.0072271830566451823,-1.0535946426809715
YHOO,2015-06-23,0.01408658391393928,0.97220096603673922
ADBE,2015-09-14,0.0064796816741154173,0.7532103407102313
F,2015-09-14,0.018166135290008378,1.7155362277253743
HPQ,2015-09-14,-0.00044388962546928297,-0.052940802386842518
LPL,2015-09-14,-0.00033929528784588372,-0.015464342540414918
MSFT,2015-09-14,0.014906792988779786,1.3873490873503365
NFLX,2015-09-14,0.022809698006342659,0.67974515460183083
NOK,2015-09-14,-0.016296125816635105,-0.89792814038790336
ABT,2013-06-26,-0.0066714762652087872,-0.7240936945830182
BSX,2013-06-26,-0.012372456085986892,-0.72279438691100206
ABT,2013-03-20,-0.0064976345015541432,-0.62393171765290245
DE,2013-02-20,-0.0094391973042630209,-1.5874295114467818
WILN,2012-12-11,0.04384154040912773,2.8783550129670088
IPXL,2013-02-01,0.0039724371455688301,0.39769708934037512
IPXL,2013-02-14,-0.0011698147374466037,-0.12301402516085588
MON,2013-06-10,-0.0017315247013260076,-0.14696196835872569
BSX,2013-02-12,-0.021880438811591428,-1.8400069671012536
IPXL,2012-09-07,-0.0050259351271476505,-0.16182857805527015
NVDA,2013-02-08,0.015132892187953497,1.0494696764078943
NVO,2013-12-20,-0.0074285375973874353,-0.40796736304744924
WMT,2013-04-16,0.00010307560476938583,0.011550231729972705
AMZN,2013-03-19,-0.0028255397431413373,-0.14346798676789813
COST,2013-03-19,0.0022449468230805892,0.36619973765467423
EBAY,2013-03-19,0.01168263059823314,0.96634048026625619
HPQ,2013-03-19,-0.021473649904497467,-1.0790886137186251
MSFT,2013-03-19,-0.0022027001404643729,-0.25120322606936596
ODP,2013-03-19,-0.0055169335544133277,-0.17685704019257725
TGT,2013-03-19,0.029361961096440927,2.9994918873060592
AXP,2013-02-12,-0.0022847354410626378,-0.29630253644928939
