EVBG,2013-08-30,"[-60, -30)",the Event Date does not exist in its price file
EVBG,2013-08-30,"[-2, 3)",the Event Date does not exist in its price file
ORCL,2015-04-03,"[-60, -30)",the Event Date does not exist in its price file
ORCL,2015-04-03,"[-2, 3)",the Event Date does not exist in its price file
FACTOR_ERROR,2015-04-03,"[-60, -30)",TYPE: Mkt-RF,the Event Date does not exist in the factor file
FACTOR_ERROR,2015-04-03,"[-2, 3)",TYPE: Mkt-RF,the Event Date does not exist in the factor file
FACTOR_ERROR,2015-04-03,"[-60, -30)",TYPE: Mkt-RF,the Event Date does not exist in the factor file
FACTOR_ERROR,2015-04-03,"[-2, 3)",TYPE: Mkt-RF,the Event Date does not exist in the factor file
FACTOR_ERROR,2015-04-03,"[-60, -30)",TYPE: SMB,the Event Date does not exist in the factor file
FACTOR_ERROR,2015-04-03,"[-2, 3)",TYPE: SMB,the Event Date does not exist in the factor file
FACTOR_ERROR,2015-04-03,"[-60, -30)",TYPE: HML,the Event Date does not exist in the factor file
FACTOR_ERROR,2015-04-03,"[-2, 3)",TYPE: HML,the Event Date does not exist in the factor file
ORCL,2017-06-06,"[-60, -30)",the Event Date does not exist in its price file
ORCL,2017-06-06,"[-2, 3)",the Event Date does not exist in its price file
FACTOR_ERROR,2017-06-06,"[-60, -30)",TYPE: Mkt-RF,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-06-06,"[-2, 3)",TYPE: Mkt-RF,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-06-06,"[-60, -30)",TYPE: Mkt-RF,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-06-06,"[-2, 3)",TYPE: Mkt-RF,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-06-06,"[-60, -30)",TYPE: SMB,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-06-06,"[-2, 3)",TYPE: SMB,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-06-06,"[-60, -30)",TYPE: HML,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-06-06,"[-2, 3)",TYPE: HML,the Event Date does not exist in the factor file
TWTR,2013-05-10,"[-60, -30)",the Event Date does not exist in its price file
TWTR,2013-05-10,"[-2, 3)",the Event Date does not exist in its price file
MSTR,2015-04-03,"[-60, -30)",the Event Date does not exist in its price file
MSTR,2015-04-03,"[-2, 3)",the Event Date does not exist in its price file
FACTOR_ERROR,2015-04-03,"[-60, -30)",TYPE: Mkt-RF,the Event Date does not exist in the factor file
FACTOR_ERROR,2015-04-03,"[-2, 3)",TYPE: Mkt-RF,the Event Date does not exist in the factor file
FACTOR_ERROR,2015-04-03,"[-60, -30)",TYPE: Mkt-RF,the Event Date does not exist in the factor file
FACTOR_ERROR,2015-04-03,"[-2, 3)",TYPE: Mkt-RF,the Event Date does not exist in the factor file
FACTOR_ERROR,2015-04-03,"[-60, -30)",TYPE: SMB,the Event Date does not exist in the factor file
FACTOR_ERROR,2015-04-03,"[-2, 3)",TYPE: SMB,the Event Date does not exist in the factor file
FACTOR_ERROR,2015-04-03,"[-60, -30)",TYPE: HML,the Event Date does not exist in the factor file
FACTOR_ERROR,2015-04-03,"[-2, 3)",TYPE: HML,the Event Date does not exist in the factor file
QTM,2017-06-06,"[-60, -30)",the Event Date does not exist in its price file
QTM,2017-06-06,"[-2, 3)",the Event Date does not exist in its price file
FACTOR_ERROR,2017-06-06,"[-60, -30)",TYPE: Mkt-RF,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-06-06,"[-2, 3)",TYPE: Mkt-RF,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-06-06,"[-60, -30)",TYPE: Mkt-RF,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-06-06,"[-2, 3)",TYPE: Mkt-RF,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-06-06,"[-60, -30)",TYPE: SMB,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-06-06,"[-2, 3)",TYPE: SMB,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-06-06,"[-60, -30)",TYPE: HML,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-06-06,"[-2, 3)",TYPE: HML,the Event Date does not exist in the factor file
FDC,2015-07-31,"[-60, -30)",the Event Date does not exist in its price file
FDC,2015-07-31,"[-2, 3)",the Event Date does not exist in its price file
NTRA,2015-06-12,"[-60, -30)",the Event Date does not exist in its price file
NTRA,2015-06-12,"[-2, 3)",the Event Date does not exist in its price file
NUVA,2017-05-31,"[-60, -30)",the Event Date does not exist in its price file
NUVA,2017-05-31,"[-2, 3)",the Event Date does not exist in its price file
FACTOR_ERROR,2017-05-31,"[-60, -30)",TYPE: Mkt-RF,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-05-31,"[-2, 3)",TYPE: Mkt-RF,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-05-31,"[-60, -30)",TYPE: Mkt-RF,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-05-31,"[-2, 3)",TYPE: Mkt-RF,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-05-31,"[-60, -30)",TYPE: SMB,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-05-31,"[-2, 3)",TYPE: SMB,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-05-31,"[-60, -30)",TYPE: HML,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-05-31,"[-2, 3)",TYPE: HML,the Event Date does not exist in the factor file
TWTR,2013-08-30,"[-60, -30)",the Event Date does not exist in its price file
TWTR,2013-08-30,"[-2, 3)",the Event Date does not exist in its price file
AAPL,2017-04-14,"[-60, -30)",the Event Date does not exist in its price file
AAPL,2017-04-14,"[-2, 3)",the Event Date does not exist in its price file
FACTOR_ERROR,2017-04-14,"[-60, -30)",TYPE: Mkt-RF,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-04-14,"[-2, 3)",TYPE: Mkt-RF,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-04-14,"[-60, -30)",TYPE: Mkt-RF,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-04-14,"[-2, 3)",TYPE: Mkt-RF,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-04-14,"[-60, -30)",TYPE: SMB,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-04-14,"[-2, 3)",TYPE: SMB,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-04-14,"[-60, -30)",TYPE: HML,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-04-14,"[-2, 3)",TYPE: HML,the Event Date does not exist in the factor file
SQ,2015-10-16,"[-60, -30)",the Event Date does not exist in its price file
SQ,2015-10-16,"[-2, 3)",the Event Date does not exist in its price file
CRDS,2017-06-06,"[-60, -30)",the Event Date does not exist in its price file
CRDS,2017-06-06,"[-2, 3)",the Event Date does not exist in its price file
FACTOR_ERROR,2017-06-06,"[-60, -30)",TYPE: Mkt-RF,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-06-06,"[-2, 3)",TYPE: Mkt-RF,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-06-06,"[-60, -30)",TYPE: Mkt-RF,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-06-06,"[-2, 3)",TYPE: Mkt-RF,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-06-06,"[-60, -30)",TYPE: SMB,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-06-06,"[-2, 3)",TYPE: SMB,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-06-06,"[-60, -30)",TYPE: HML,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-06-06,"[-2, 3)",TYPE: HML,the Event Date does not exist in the factor file
CSCO,2017-06-06,"[-60, -30)",the Event Date does not exist in its price file
CSCO,2017-06-06,"[-2, 3)",the Event Date does not exist in its price file
FACTOR_ERROR,2017-06-06,"[-60, -30)",TYPE: Mkt-RF,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-06-06,"[-2, 3)",TYPE: Mkt-RF,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-06-06,"[-60, -30)",TYPE: Mkt-RF,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-06-06,"[-2, 3)",TYPE: Mkt-RF,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-06-06,"[-60, -30)",TYPE: SMB,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-06-06,"[-2, 3)",TYPE: SMB,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-06-06,"[-60, -30)",TYPE: HML,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-06-06,"[-2, 3)",TYPE: HML,the Event Date does not exist in the factor file
NTAP,2017-06-06,"[-60, -30)",the Event Date does not exist in its price file
NTAP,2017-06-06,"[-2, 3)",the Event Date does not exist in its price file
FACTOR_ERROR,2017-06-06,"[-60, -30)",TYPE: Mkt-RF,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-06-06,"[-2, 3)",TYPE: Mkt-RF,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-06-06,"[-60, -30)",TYPE: Mkt-RF,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-06-06,"[-2, 3)",TYPE: Mkt-RF,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-06-06,"[-60, -30)",TYPE: SMB,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-06-06,"[-2, 3)",TYPE: SMB,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-06-06,"[-60, -30)",TYPE: HML,the Event Date does not exist in the factor file
