CFG,2011-08-03,"[-180, -10)",the Event Date does not exist in its price file
CFG,2011-08-03,"[0, 2)",the Event Date does not exist in its price file
AVX,2016-01-26,"[0, 2)","Prices are constant in this duration, not useful"
T,2013-05-01,"[0, 2)","Prices are constant in this duration, not useful"
FDC,2011-08-03,"[-180, -10)",the Event Date does not exist in its price file
FDC,2011-08-03,"[0, 2)",the Event Date does not exist in its price file
FDC,2011-08-02,"[-180, -10)",the Event Date does not exist in its price file
FDC,2011-08-02,"[0, 2)",the Event Date does not exist in its price file
ZNGA,2015-09-10,"[0, 2)","Prices are constant in this duration, not useful"
CDW,2010-04-30,"[-180, -10)",the Event Date does not exist in its price file
CDW,2010-04-30,"[0, 2)",the Event Date does not exist in its price file
SNPS,2017-06-27,"[-180, -10)",the Event Date does not exist in its price file
SNPS,2017-06-27,"[0, 2)",the Event Date does not exist in its price file
SPY,2017-06-27,"[-180, -10)",the Event Date does not exist in its price file
SPY,2017-06-27,"[0, 2)",the Event Date does not exist in its price file
BGCA,2011-02-23,"[-180, -10)",the Event Date does not exist in its price file
BGCA,2011-02-23,"[0, 2)",the Event Date does not exist in its price file
CHSCL,2013-11-25,"[-180, -10)",the Event Date does not exist in its price file
CHSCL,2013-11-25,"[0, 2)",the Event Date does not exist in its price file
ATEN,2012-08-06,"[-180, -10)",the Event Date does not exist in its price file
ATEN,2012-08-06,"[0, 2)",the Event Date does not exist in its price file
OIIM,2012-05-03,"[-180, -10)",the Event Date does not exist in its price file
OIIM,2012-05-03,"[0, 2)",the Event Date does not exist in its price file
WMT,2014-02-24,"[0, 2)","Prices are constant in this duration, not useful"
LZB,2017-02-28,"[-180, -10)","Zero Price error, 2016-06-29 price is : 0.000000 | "
BAX,2009-01-30,"[0, 2)","Prices are constant in this duration, not useful"
INTC,2017-06-23,"[-180, -10)",the Event Date does not exist in its price file
INTC,2017-06-23,"[0, 2)",the Event Date does not exist in its price file
SPY,2017-06-23,"[-180, -10)",the Event Date does not exist in its price file
SPY,2017-06-23,"[0, 2)",the Event Date does not exist in its price file
GGG,2016-12-01,"[-180, -10)","Zero Price error, 2016-06-29 price is : 0.000000 | "
GMED,2009-07-17,"[-180, -10)",the Event Date does not exist in its price file
GMED,2009-07-17,"[0, 2)",the Event Date does not exist in its price file
ITRI,2016-07-25,"[-180, -10)","Zero Price error, 2016-06-29 price is : null | "
CFG,2011-08-02,"[-180, -10)",the Event Date does not exist in its price file
CFG,2011-08-02,"[0, 2)",the Event Date does not exist in its price file
TDC,2017-05-26,"[-180, -10)",the Event Date does not exist in its price file
TDC,2017-05-26,"[0, 2)",the Event Date does not exist in its price file
SPY,2017-05-26,"[-180, -10)",the Event Date does not exist in its price file
SPY,2017-05-26,"[0, 2)",the Event Date does not exist in its price file
CTAA,2012-10-30,"[-180, -10)",the Event Date does not exist in its price file
CTAA,2012-10-30,"[0, 2)",the Event Date does not exist in its price file
SPY,2012-10-30,"[-180, -10)",the Event Date does not exist in its price file
SPY,2012-10-30,"[0, 2)",the Event Date does not exist in its price file
AMBA,2011-03-04,"[-180, -10)",the Event Date does not exist in its price file
AMBA,2011-03-04,"[0, 2)",the Event Date does not exist in its price file
GMED,2009-10-07,"[-180, -10)",the Event Date does not exist in its price file
GMED,2009-10-07,"[0, 2)",the Event Date does not exist in its price file
ITRI,2016-12-21,"[-180, -10)","Zero Price error, 2016-06-29 price is : null | "
BOX,2015-02-13,"[-180, -10)",Not enough price data for this duration
NKE,2017-06-16,"[-180, -10)",the Event Date does not exist in its price file
NKE,2017-06-16,"[0, 2)",the Event Date does not exist in its price file
SPY,2017-06-16,"[-180, -10)",the Event Date does not exist in its price file
SPY,2017-06-16,"[0, 2)",the Event Date does not exist in its price file
ITRI,2016-10-03,"[-180, -10)","Zero Price error, 2016-06-29 price is : null | "
CBS,2009-12-14,"[0, 2)","Prices are constant in this duration, not useful"
CFG,2010-09-27,"[-180, -10)",the Event Date does not exist in its price file
CFG,2010-09-27,"[0, 2)",the Event Date does not exist in its price file
FDC,2010-09-27,"[-180, -10)",the Event Date does not exist in its price file
FDC,2010-09-27,"[0, 2)",the Event Date does not exist in its price file
ATEN,2013-06-10,"[-180, -10)",the Event Date does not exist in its price file
ATEN,2013-06-10,"[0, 2)",the Event Date does not exist in its price file
HPQ,2017-05-26,"[-180, -10)",the Event Date does not exist in its price file
HPQ,2017-05-26,"[0, 2)",the Event Date does not exist in its price file
SPY,2017-05-26,"[-180, -10)",the Event Date does not exist in its price file
SPY,2017-05-26,"[0, 2)",the Event Date does not exist in its price file
GGG,2016-11-17,"[-180, -10)","Zero Price error, 2016-06-29 price is : 0.000000 | "
FDC,2010-03-26,"[-180, -10)",the Event Date does not exist in its price file
FDC,2010-03-26,"[0, 2)",the Event Date does not exist in its price file
P,2009-12-14,"[-180, -10)",the Event Date does not exist in its price file
P,2009-12-14,"[0, 2)",the Event Date does not exist in its price file
MON,2010-04-02,"[-180, -10)",the Event Date does not exist in its price file
MON,2010-04-02,"[0, 2)",the Event Date does not exist in its price file
SPY,2010-04-02,"[-180, -10)",the Event Date does not exist in its price file
SPY,2010-04-02,"[0, 2)",the Event Date does not exist in its price file
BOX,2015-08-20,"[-180, -10)",Not enough price data for this duration
SATS,2017-05-26,"[-180, -10)",the Event Date does not exist in its price file
SATS,2017-05-26,"[0, 2)",the Event Date does not exist in its price file
SPY,2017-05-26,"[-180, -10)",the Event Date does not exist in its price file
SPY,2017-05-26,"[0, 2)",the Event Date does not exist in its price file
AAPL,2017-06-06,"[-180, -10)",the Event Date does not exist in its price file
AAPL,2017-06-06,"[0, 2)",the Event Date does not exist in its price file
SPY,2017-06-06,"[-180, -10)",the Event Date does not exist in its price file
SPY,2017-06-06,"[0, 2)",the Event Date does not exist in its price file
BGCA,2010-06-29,"[-180, -10)",the Event Date does not exist in its price file
BGCA,2010-06-29,"[0, 2)",the Event Date does not exist in its price file
IBM,2017-06-23,"[-180, -10)",the Event Date does not exist in its price file
IBM,2017-06-23,"[0, 2)",the Event Date does not exist in its price file
SPY,2017-06-23,"[-180, -10)",the Event Date does not exist in its price file
SPY,2017-06-23,"[0, 2)",the Event Date does not exist in its price file
ITRI,2016-07-26,"[-180, -10)","Zero Price error, 2016-06-29 price is : null | "
CSCO,2017-06-01,"[-180, -10)",the Event Date does not exist in its price file
CSCO,2017-06-01,"[0, 2)",the Event Date does not exist in its price file
SPY,2017-06-01,"[-180, -10)",the Event Date does not exist in its price file
