Stock_Ticker,Decision_Date,CAR,CAR/Sigma,Bootsratp p-value
AAPL,2012-11-06,-0.020578942455483543,-1.8892485523537137,-1
BSX,2011-05-12,-0.001634233806533051,-0.07846808552846564,-1
AAPL,2010-10-01,-0.008066657429118173,-0.6970218425689325,-1
BKS,2014-11-04,0.009541542664600205,0.4753834490890146,-1
PHG,2013-11-21,0.0032682928863848127,0.3326960759621772,-1
OSTK,2015-01-16,-0.036431833172056324,-1.382816409917215,-1
NOK,2014-03-19,-0.018572649691473146,-1.0115131475384267,-1
PX,2010-05-26,-0.008018818985212908,-1.6125633994689748,-1
MRO,2015-09-04,-0.02445242997683098,-1.4270871972846597,-1
CME,2011-04-15,0.0019218891817970214,0.12140762365078303,-1
VAR,2012-02-23,0.0032894937966950703,0.4314945474654841,-1
VIA,2014-01-23,-0.001735428208157093,-0.17961676496747558,-1
AAPL,2016-09-21,0.0014985214785818608,0.10673303039340337,-1
BBT,2010-03-26,-0.011827869023164865,-0.6401727078375594,-1
GILD,2016-12-15,-0.0151211301331188,-1.489808781313943,-1
INTC,2010-10-05,0.01088274927593219,0.8963252881083633,-1
INTC,2008-04-09,0.02974123143059823,1.071318724622736,-1
AVT,2012-05-18,-0.001204726460664999,-0.14574710702832377,-1
MSFT,2014-05-02,-0.00972531074078645,-1.1751520100141113,-1
MSFT,2009-05-20,-0.014353592692842027,-0.6305072129893213,-1
NOK,2013-11-21,-0.012270252655856979,-0.22975981120662287,-1
MSFT,2009-04-08,-0.016551372428082814,-0.6333948257357466,-1
AAPL,2015-02-24,-0.0230001002262886,-2.466287418525249,-1
FII,2013-11-25,0.0017068865532759193,0.18946022210820865,-1
TECD,2008-11-19,-0.05342418458045751,-3.0834904124857276,-1
EXTR,2008-05-30,0.003407149035800254,0.1876878551224477,-1
SNPS,2014-10-10,0.020326528110322532,1.5977477193779082,-1
MSFT,2010-03-16,0.0023478676402043045,0.24838753011690817,-1
DD,2012-08-01,-0.009493497587456759,-1.9951495303384197,-1
CHKP,2015-02-06,-0.005587247958909396,-0.9090210357683517,-1
VLO,2013-11-25,-0.004650274055462994,-0.3309072798189625,-1
PII,2009-04-16,-0.001189341808281466,-0.03916515809583948,-1
GILD,2017-01-26,0.006428074648145702,0.5231954213921317,-1
EBAY,2015-01-16,-0.0022657570319701433,-0.3792768572514784,-1
IBM,2011-02-23,0.005185208100451487,0.9753420746303427,-1
LLNW,2008-02-29,-0.13190282125208183,-3.200693080867561,-1
BONT,2014-04-03,0.0293671666186901,0.950106858870114,-1
AAPL,2015-10-19,0.020975567553244395,1.3090446998460932,-1
ILMN,2013-06-19,0.02859752214520936,1.2602085514481194,-1
HPQ,2016-10-07,-0.009438160759421584,-1.409892932121358,-1
AVP,2011-11-18,0.014389896939165045,1.4635424811591455,-1
AAPL,2016-09-14,0.023505429679091215,1.6994201213275657,-1
TGT,2012-11-06,-0.0006721632056810017,-0.0799507906751513,-1
DE,2013-11-25,-0.008942792433368436,-1.0833059618645517,-1
MGI,2009-09-24,-0.035774976937025416,-0.5221879833695371,-1
MSFT,2008-05-15,-0.01686814672038086,-1.353917815258162,-1
MMM,2012-11-30,-0.002187770498823319,-0.34019211793093823,-1
DUK,2016-10-03,-0.021980624001640345,-2.4249965116263112,-1
MTB,2010-03-26,-0.009367178544064839,-0.46771868986665566,-1
MSFT,2014-03-19,0.020929645924085243,1.3961896672853218,-1
AMZN,2011-04-15,0.011205330055914502,0.5841454436146987,-1
CSCO,2016-05-12,0.0036453178624084887,0.5629839405522239,-1
POWI,2015-12-18,0.007044464958696112,0.30305206387681227,-1
SNX,2008-11-19,-0.08590127686024197,-2.656719287593241,-1
MRO,2016-01-14,-0.07041031606819473,-2.4637774364642686,-1
INTC,2014-05-02,-0.0024797970324339654,-0.4710911374233283,-1
ENZ,2012-11-01,0.17224220134382753,5.5483200822368355,-1
ELY,2010-03-05,0.012314211228572895,0.7425617617944533,-1
AAPL,2014-11-17,0.0072465731248897896,0.5129765711902328,-1
AAPL,2014-05-05,-0.003379651626440789,-0.40056815490364667,-1
ITRI,2014-06-06,0.013526478148718865,1.1872384766303974,-1
BBRY,2012-07-13,-0.02583126143274629,-0.8165731824356912,-1
NOK,2014-09-30,-0.013580129744977739,-0.7554338962943218,-1
WDC,2011-07-26,0.0019071975312138258,0.1816220479433595,-1
ABT,2009-06-29,-0.015514593055842216,-0.742432696659912,-1
ILMN,2013-03-14,-0.005344647453071115,-0.22538469034208758,-1
TGT,2015-01-16,-0.023259927732846356,-1.31794823684891,-1
HAE,2009-01-30,0.0913818376738192,5.136925669569391,-1
TWX,2009-05-15,0.013496298012184584,0.283893788307622,-1
BWA,2015-02-27,0.018390796378327384,1.5140549932850738,-1
WHR,2017-03-10,0.00019312544121301246,0.023041420341023154,-1
AAPL,2016-12-15,0.003007529633551567,0.37470801580722984,-1
FMC,2011-05-13,0.00537750837518255,0.5198196589312787,-1
BDX,2009-11-09,0.0026955930392870246,0.2653551519296966,-1
AKAM,2008-02-29,-0.032338780535994746,-1.2718441854974503,-1
NTGR,2013-06-13,-0.004093657873647764,-0.1900637245365895,-1
ORCL,2008-08-25,-0.008555469237360743,-0.7638887517038173,-1
HUM,2013-11-25,0.0037361768872101677,0.29674652338831453,-1
POWI,2014-03-04,0.03476386031726164,2.589591646100425,-1
CAT,2013-11-25,-0.0005116308791961752,-0.06528042036696079,-1
IBM,2011-10-12,0.005170714744265207,0.5673691335836475,-1
ZION,2010-03-26,-0.04816616242654191,-1.3901331590613526,-1
IBM,2010-10-05,0.0014053616199202733,0.17741515171247788,-1
IBM,2014-05-05,0.003665133718848716,0.7857224043960288,-1
NVDA,2015-05-04,-0.023020728425857256,-1.354055794412827,-1
LLY,2017-05-18,-0.014901681469365404,-1.949295176239453,-1
NVDA,2012-02-29,0.005106377776030508,0.35903275906270515,-1
HPE,2016-10-07,-0.005622406214302139,-0.5035239427990181,-1
STI,2013-11-25,0.00041277070858045177,0.05083296772396534,-1
VSAT,2014-04-24,-0.003756095706226639,-0.16290433018833325,-1
BSX,2011-05-11,-0.024413909109686473,-1.1744023143949527,-1
CBS,2014-09-15,-0.0012329706746584288,-0.0707093453076709,-1
YHOO,2011-04-15,-0.0009683674241527697,-0.06169161374772358,-1
RAD,2013-11-25,0.025130631198846683,0.5702836216659909,-1
CSCO,2012-11-06,0.035485130676118616,2.0698721381091136,-1
AAPL,2013-11-21,-0.004205904082075402,-0.21111242587723109,-1
GEH,2013-11-25,0.012840843526573371,1.815185637522116,-1
SYMC,2015-02-06,0.0015473308401620905,0.18836711084635646,-1
IDTI,2012-02-29,-0.022042718130091343,-1.4463936292436432,-1
T,2013-03-20,0.00885693657540183,1.2265084457948723,-1
SHLD,2017-05-12,-0.16051012489807676,-2.720415589135271,-1
SNPS,2016-03-10,0.002107749312824975,0.26929029743589294,-1
JNJ,2011-01-28,-0.007176548010202959,-1.431728017431947,-1
CSCO,2010-05-17,-0.009710348648454947,-1.0295474937590432,-1
LZB,2016-03-16,0.011548753182437017,0.651272900409249,-1
GGG,2016-11-17,0.0005566443056918662,0.055731038427919516,-1
RHT,2011-04-15,0.0077255405609872735,0.3968454442374138,-1
FMC,2009-08-26,0.014614471352765515,0.899281612786307,-1
SYK,2013-02-05,0.002274259259830845,0.38850645233439446,-1
SMCI,2011-02-23,0.028301725935178244,1.5069532105684065,-1
CTXS,2012-06-18,-0.015667755048160627,-0.6782120464561007,-1
GE,2011-06-17,-0.005633798964103433,-0.6151414938432286,-1
GMED,2013-06-14,0.03907539594956839,2.154687384163683,-1
HPQ,2008-04-09,0.0060570926330443175,0.2747595398503814,-1
FFIV,2016-03-15,0.00527734115078336,0.35207465077687067,-1
POWI,2015-12-17,0.0034120221898522804,0.1467675863537858,-1
TEX,2011-03-03,-0.0047689926101619935,-0.23449924827560636,-1
SYX,2010-04-30,-0.023528878347020617,-0.7284351785845046,-1
CI,2013-11-25,-0.0020517191483802573,-0.15413773472220868,-1
MON,2010-09-21,-0.006081424103873431,-0.2713640082955523,-1
TXN,2015-05-04,-0.009139456291036983,-1.1116750281318866,-1
AMZN,2014-01-23,0.0049204368644138845,0.44724548907265566,-1
STI,2010-03-26,-0.01624269434306473,-0.6481027122641331,-1
YHOO,2009-05-15,-0.003399758592516417,-0.1306530919165543,-1
MMM,2008-10-22,0.044361550576644926,6.759923457854563,-1
IBM,2014-05-02,-0.0028435036747061146,-0.6458693383006929,-1
SSNI,2014-06-06,0.033301016215972284,1.4918350505088547,-1
AAPL,2014-05-02,0.012825052994720513,1.5461647745141014,-1
AAPL,2016-02-03,0.009172316209720888,0.7492827717873621,-1
HAS,2008-03-24,0.00911976387329019,0.36251737763434005,-1
HOLX,2011-10-17,-0.0062001911188040125,-0.46221003740062555,-1
VZ,2011-03-18,0.0034673069883605877,0.28372906007488236,-1
USB,2010-03-26,-0.009026587276089546,-0.6158861299546124,-1
MSFT,2013-11-21,0.001724863305870251,0.1216711755905953,-1
MON,2012-08-01,0.013942071186039132,1.0835535052241123,-1
CGNX,2015-05-01,0.012067907587467463,0.7627935917687966,-1
CGNX,2014-05-01,-0.014258223165861438,-0.5957421933400336,-1
IBM,2013-11-21,-0.020303580668454176,-2.7744841838888874,-1
MSFT,2014-05-05,-0.0015047309605552943,-0.16743174589181162,-1
BBRY,2015-02-13,0.024646604174392725,1.074146190731722,-1
RDWR,2016-03-15,-0.004372890412383252,-0.22915344246080183,-1
INTC,2014-05-05,0.0071708626442833325,1.3240299697208509,-1
WFC,2010-03-26,-0.013542752342969935,-0.7852151044287726,-1
INTC,2013-06-13,0.0009244333063257578,0.07936727914062672,-1
BXS,2010-03-26,0.006568690070997266,0.43981197059135285,-1
AAPL,2016-09-30,-0.00662889413769366,-0.4673712811953049,-1
TWX,2011-11-04,0.005066958442567377,0.6077038129117691,-1
FB,2013-04-05,-0.027327203661075036,-1.0821600387968977,-1
CSCO,2011-04-08,-0.0018035741407129782,-0.06021355734657133,-1
NOK,2016-12-15,0.042952003335442315,1.7957882938184317,-1
BELFA,2012-11-26,0.004548134971045349,0.21710433397594653,-1
SYK,2016-11-11,-0.03656495158526545,-5.978748868233337,-1
BSX,2008-05-27,-0.025830389300002213,-1.533981817433697,-1
BRCD,2012-08-06,0.006510120209853426,0.22311350617938802,-1
BBY,2012-12-17,-0.012714811679450946,-0.47075007919323164,-1
MASI,2014-10-01,-0.06544218420506152,-2.682127754632576,-1
ABT,2011-01-14,0.009983977148038389,1.480726059091241,-1
GE,2012-11-01,0.009153288986093265,1.8386635145227905,-1
HON,2012-11-26,0.005236106185290764,0.7236596206201888,-1
USB,2013-11-25,0.0014946893633395694,0.21887899798590144,-1
INTC,2016-09-21,-0.00687142110170833,-0.7835443024082882,-1
AAPL,2015-11-19,0.0013844271759939335,0.11000912978938612,-1
POWI,2015-06-05,-0.003995022222692386,-0.26189988695868677,-1
TMUS,2016-09-14,0.014982939365209903,1.3224407077998606,-1
TXN,2013-10-03,-0.016100788648427546,-1.6964552311725822,-1
CFR,2010-03-26,-0.002364760395655136,-0.2608049441886116,-1
KEY,2010-03-26,-0.03350366054660673,-1.2572107666900354,-1
FOSL,2014-04-03,-0.010569136684533402,-0.6524338929276339,-1
HPQ,2010-10-05,0.0029041489301202266,0.13935769299669923,-1
EA,2014-12-05,-0.0038591834465590124,-0.27131400451833265,-1
KYO,2011-05-23,0.021781221787108916,0.9515790851807943,-1
INTC,2015-08-04,0.0045542618019617075,0.47083330143757524,-1
AMD,2012-02-29,0.01362278089018468,0.7663112090341802,-1
HSNI,2013-11-25,-0.005216469146298328,-0.5168884180710037,-1
HSNI,2011-11-18,-0.0023248175672453356,-0.12186590969693861,-1
ROK,2012-10-16,0.013354167220793803,1.1535805790594102,-1
SHLD,2015-01-16,-0.01848758993321339,-0.27656612317866375,-1
CSCO,2016-09-30,0.0025963756656165126,0.44469427162137926,-1
GILD,2016-03-24,0.014936995247118025,0.6886252032215942,-1
BSX,2008-02-11,0.005094511330158135,0.2513018671250652,-1
HOLX,2012-09-04,0.0003815948215717775,0.034797753204334494,-1
ALK,2013-11-25,-0.01439502232685959,-0.9245972817126267,-1
INTL,2013-11-25,0.003973071734872371,0.47680002225946394,-1
SPLS,2010-12-21,0.011864328713097966,1.185662922532983,-1
S,2016-09-14,0.018319147098166948,0.32622829007606774,-1
TPX,2014-01-21,0.010234900893635124,0.3969244374474508,-1
DD,2017-05-16,-0.013940618183387127,-1.339416971607086,-1
VZ,2013-11-25,0.001416448107973841,0.13454510669284134,-1
CNA,2013-11-25,-0.006004171883225438,-0.6440371653475353,-1
GRMN,2012-07-12,-0.01972792659871637,-1.6727931628146284,-1
SFLY,2011-11-18,-0.006635759271225915,-0.2404777689434107,-1
CSCO,2012-11-26,0.010526320135091008,1.2540679054400872,-1
MRVL,2012-12-26,-0.030025201069754794,-1.1144444144164112,-1
NATI,2012-02-29,-0.0031937911941628703,-0.18940678423298804,-1
WHR,2010-03-11,-0.007223308902255946,-0.5852376168423302,-1
PRKR,2013-10-28,-0.0466223187401531,-1.343226298149055,-1
GE,2013-11-25,0.0012645100420458086,0.1885348169209381,-1
YHOO,2011-11-04,0.01997892763483783,0.8280518353696216,-1
CSCO,2013-03-22,0.007802640040662102,0.8346102185366713,-1
T,2016-09-14,0.009169135357104757,1.123445514106163,-1
AVT,2016-01-28,0.007484281366934985,0.7520570582281418,-1
INTC,2013-11-21,-0.060225051603694,-6.027997842691867,-1
LLY,2017-04-21,0.007332537065925165,0.8023678546322419,-1
NUVA,2011-09-20,-0.07627170475586761,-4.273864347879382,-1
HPQ,2011-02-23,-0.03178083724171954,-3.1866295389664043,-1
CMA,2010-03-26,-0.0026028690513757117,-0.11386530573629526,-1
GE,2012-03-08,-0.005719873112570774,-0.585626399823657,-1
ITRI,2016-10-03,0.003624516069343195,0.17427930058604868,-1
VZ,2016-09-14,0.006827991852558139,0.7887118610656921,-1
AAPL,2009-04-23,-0.030829876037409252,-1.8030947207844195,-1
XLNX,2012-05-18,0.007856779076916119,0.7801873795660921,-1
CAMP,2016-02-24,-0.034847201911952515,-1.1705839426851479,-1
MRVL,2013-01-14,-0.011649845989485126,-0.41602467591790626,-1
VZ,2011-08-02,0.010515281090898719,1.5564060918039018,-1
CIX,2010-02-25,0.11837099774169806,3.9420673550794647,-1
INTC,2015-02-06,-0.010057741331686309,-0.8415347325845779,-1
AAPL,2011-07-08,-0.004550643224470094,-0.42525538474369806,-1
MCK,2008-12-12,0.012289194890959362,0.41902983912455816,-1
STT,2013-11-25,0.007319215578232039,1.1871816885254538,-1
IDT,2011-02-15,-0.029773587488396876,-0.6367704598266981,-1
TXN,2014-06-20,0.004510083769015159,0.32903187124624095,-1
PRGO,2016-12-14,-0.012435677750310188,-0.6540500226324879,-1
