Stock_Ticker,Decision_Date,CAR,CAR/Sigma,Bootsratp p-value
YHOO,2010-04-29,-0.04499495630747984,-1.7718402720555684,-1
BBY,2012-12-07,-0.046225415486766744,-1.2392637549116945,-1
WBA,2016-10-31,-0.019742786612466062,-1.0727198205695958,-1
LLY,2011-12-06,0.010665967112810561,0.5423079628894163,-1
DECK,2014-11-21,0.02797784787309605,0.6846994181251165,-1
EXTR,2008-11-05,-0.01584842915190641,-0.34183946727970566,-1
WBA,2016-07-12,-0.03160287315451456,-1.5305606652116703,-1
TXN,2013-06-25,0.0037578493634005585,0.20925827298152241,-1
IBM,2012-07-18,-0.021434510308865395,-2.5038088236142024,-1
PWR,2012-04-13,-0.009139270450865862,-0.3919447453657241,-1
CAMT,2011-08-11,-0.22890240934963163,-3.5921153998918216,-1
CI,2015-10-22,-0.018454804902053715,-0.8303528215432806,-1
MRVL,2014-05-07,-0.034111479898153045,-1.1819603057419625,-1
AAPL,2010-11-10,-0.013155117064730472,-0.6672299294225378,-1
AAPL,2012-09-04,-0.015589842574854369,-0.930977006551972,-1
AAPL,2011-01-05,0.00743090594930271,0.3562765109143349,-1
CSCO,2016-04-06,-0.022016906185966342,-0.47004168726214,-1
PFE,2010-01-22,0.011598179433979085,0.5238420521521487,-1
DEPO,2014-07-17,-0.13386613138657089,-1.3236174484129801,-1
NKE,2009-07-15,-0.019121377829489434,-0.4253656316613521,-1
T,2009-09-09,-0.004508323332758223,-0.22200957505662963,-1
POWI,2014-06-30,0.019276770303533076,0.21601052944541205,-1
BCR,2009-03-31,0.019523237284649164,0.7441984286869943,-1
BBBY,2015-09-11,0.007426279709629108,0.4275625015285165,-1
MSFT,2012-11-07,0.03372954343515359,2.366236333737073,-1
AMGN,2008-10-17,0.010475986861882773,0.20850717711209582,-1
NKE,2012-02-07,-0.027240233089879412,-1.1711937507850436,-1
WHR,2016-05-06,-0.00547702620278649,-0.21369934281815053,-1
NTAP,2015-03-27,-0.01719639216779,-0.9779940705791383,-1
NVDA,2012-03-21,-0.008692638811339097,-0.25849721522706787,-1
NTGR,2016-07-22,-0.023740640415785663,-0.4981786505973696,-1
AMTD,2011-02-23,-0.0016964255483361487,-0.06812598061145007,-1
TXN,2016-04-25,-0.0061515518959078495,-0.28707237361660015,-1
BRCD,2013-06-10,0.04067518258343749,1.6786056479168527,-1
NOK,2013-03-01,-0.061248167560329726,-0.6561469700365605,-1
YHOO,2009-12-14,0.027213032717865904,0.7053712448881888,-1
SHLD,2016-10-31,0.047841226913754926,0.8684218782080828,-1
FMC,2013-02-08,-0.049607737422954455,-1.9833418224910317,-1
WMT,2013-02-07,0.022275480610240813,0.9808913544982495,-1
LLY,2008-07-02,0.01349698890629251,0.5020717531158616,-1
GE,2011-06-21,0.011682694145479249,0.6314702953797139,-1
BSX,2008-08-01,-0.03126303195189786,-1.019987474041846,-1
VZ,2011-11-23,0.00016737439746624793,0.012560834411321446,-1
ACTG,2010-06-04,0.021698128460084384,0.43739391082302237,-1
MON,2011-11-07,0.00460428181611356,0.15349738825038647,-1
BELFA,2011-08-17,-0.028936467637374653,-0.6045134235980302,-1
ABT,2009-12-18,-0.011234117705817191,-0.5307571337941719,-1
NWS,2016-04-12,-0.00414695459333962,-0.14337262373095508,-1
EGRX,2015-05-18,-0.02213234737424704,-0.23139572537632117,-1
MSFT,2016-12-23,0.012936419058485372,0.6663138017336367,-1
ECL,2012-08-29,-0.035099120794464755,-2.6424854950098045,-1
WDC,2011-12-28,-0.03300720497719706,-0.48653438099595,-1
DCI,2010-08-09,-0.05215844153071526,-3.0144645464668893,-1
CME,2014-06-24,-0.0023681297521562696,-0.10130450166884201,-1
HSNI,2015-04-24,0.010758844793248646,0.29464664614888125,-1
HSNI,2012-08-22,-0.005705277066346954,-0.23049596983738133,-1
RHT,2011-09-30,0.026688284233637095,0.9841878767685028,-1
BBBY,2015-08-06,-0.014340921862978423,-0.6005598061505929,-1
NOK,2014-09-19,0.0032744729184267796,0.09265645904680897,-1
AAPL,2015-09-24,0.06439822992807251,2.0910171610591877,-1
JCOM,2016-12-15,-0.01844716506934055,-0.49536649988686227,-1
TGT,2013-08-14,-0.008074863129940602,-0.38279453644042866,-1
RCII,2015-09-04,0.008098389680447144,0.29055350815393416,-1
POWI,2008-12-12,0.057398306993008144,0.6164245523000539,-1
FOSL,2016-03-28,-0.02388374371982821,-0.42500327557630463,-1
DEPO,2016-05-18,0.12581200905661002,1.6282955333202402,-1
LLNW,2016-07-01,0.02607397455890813,0.4790189082870265,-1
WHR,2016-04-06,0.020896900751631628,0.6567782548860697,-1
MGI,2009-11-18,0.025820871564079827,0.4812551319146273,-1
HON,2014-02-05,0.017518059029904873,2.1033429739466047,-1
ALG,2013-03-08,0.02695953452007992,1.3115753475971164,-1
ADBE,2011-12-29,-0.009419495131746242,-0.2991609362293133,-1
ACOR,2015-12-22,0.10600055013134382,1.9914913955286462,-1
JNPR,2008-03-18,0.0021676786861306516,0.03057215931935105,-1
INTC,2016-10-31,-0.015588469529243767,-0.9207422009143463,-1
FB,2016-05-20,-0.024088381079094764,-1.091903213206037,-1
WMT,2009-02-27,-0.025267853160403485,-0.6132721656214888,-1
MON,2012-07-02,0.014047776617618829,0.6478402147065245,-1
CAJ,2014-09-29,-0.016428886303437487,-1.4180115623505398,-1
AMZN,2013-05-08,0.014556859691746377,0.5274966624805272,-1
IBM,2012-11-07,-0.007492536940768232,-0.7846502750622201,-1
IBM,2013-11-07,-0.0012672247749062233,-0.09950267231118144,-1
SBUX,2016-01-20,0.020580807362721894,1.156483431635478,-1
IPGP,2012-12-14,0.04095074794857016,0.6175318890936273,-1
BBBY,2011-03-24,0.010549700694447868,0.6162420905110828,-1
NVDA,2015-06-17,0.0015360171434223267,0.05941865176536664,-1
BRCD,2013-01-10,-0.01392060131085382,-0.4663623481619947,-1
COST,2008-11-24,0.029886936961995327,0.8820305988384748,-1
AMRI,2010-06-14,-0.0327764074963832,-0.9298436105736729,-1
NVO,2009-09-25,-0.03793796885631125,-1.1222040479144164,-1
THO,2008-02-29,0.017161020210227293,0.35163104885548097,-1
FITB,2010-11-22,-0.05215043342912202,-1.8758410916725878,-1
FB,2013-08-07,0.05242448026481822,1.4044383667073617,-1
VRX,2013-11-14,0.006339007181810223,0.24085653632097642,-1
MON,2009-02-09,0.07721250000885481,1.1731747672999309,-1
MON,2009-07-02,-0.041550392934275836,-1.2027651683537302,-1
CSCO,2014-05-12,0.008685512562313017,0.5305223087805816,-1
SHLD,2017-01-03,0.04998035418477707,0.8732661302928509,-1
T,2013-11-22,-0.003910235136619672,-0.25653288682277464,-1
IPXL,2014-06-23,0.036632392202766394,0.6906911805429715,-1
BBBY,2010-12-07,0.021846721082604992,1.1008050686558035,-1
INTC,2009-10-08,0.027866398685526345,1.3645761396711669,-1
WFC,2016-05-20,0.019934322168595503,1.1113476712722792,-1
JNJ,2011-03-31,0.0096745109475707,0.7759835253040681,-1
MSFT,2012-12-26,-0.0037467277132198565,-0.19581925908185194,-1
BMY,2012-01-30,-0.015292856659861402,-1.0231048707545096,-1
BMY,2013-11-05,-0.01179811889325938,-0.5968315440998246,-1
NTRA,2016-07-19,-0.014413383587454894,-0.1432729422242767,-1
ZBH,2011-12-30,0.012967771829199445,0.5671665498349534,-1
SHLD,2015-01-09,0.017765707177557905,0.11598091982726136,-1
TGT,2013-05-15,-0.017797948877249725,-0.7692104153886986,-1
POWI,2011-01-19,-0.018940623015313005,-0.572774497615802,-1
T,2013-10-07,0.0016109427820329512,0.11587243362533053,-1
NVS,2015-09-14,-0.00369546267248677,-0.16661192690136598,-1
SUPN,2017-04-04,0.033191752211933725,0.6547897689377291,-1
AAPL,2014-09-05,-0.04291174081079813,-2.299267115831566,-1
HUM,2015-10-22,-0.040886900294359714,-3.7925155850620844,-1
AMRI,2010-06-02,-0.016518335401747908,-0.5869842378273284,-1
MTB,2010-09-27,0.002337075557078348,0.09183193330275757,-1
YHOO,2016-05-20,0.008520059790425775,0.3473435580791577,-1
IPXL,2011-07-26,-0.04708381040834263,-0.8324816564459491,-1
BHI,2009-12-11,-0.007095158104771017,-0.19258797842211398,-1
AAPL,2014-09-19,-0.022825016297139407,-1.2655683015773598,-1
BAX,2009-08-19,-0.003267320688603012,-0.08086042915529577,-1
CAJ,2013-11-22,-0.011045257655529241,-0.33009069696623716,-1
EBAY,2013-05-08,0.017300665982265213,0.5700166668551871,-1
AAPL,2016-11-23,-0.007905290677003306,-0.30184959161329394,-1
WMT,2009-02-04,-0.006331263583958319,-0.16428267642922664,-1
HAE,2009-06-24,0.006316904184704812,0.15394938943879832,-1
MNTA,2016-05-09,0.07846569410461418,0.8557363671043936,-1
MMM,2014-04-29,-0.0018589692109842871,-0.1559704368569469,-1
KYO,2009-11-19,-0.010926526345812766,-0.35468563029596467,-1
PHG,2008-02-06,-0.04338085358458894,-1.2672706108803033,-1
LMT,2012-10-17,-0.004468128807737737,-0.395069616646238,-1
