Stock_Ticker,Decision_Date,CAR,CAR/Sigma,Bootsratp p-value
MMM,2009-01-20,-0.023492320136344513,-1.5997797990140288,0.03567
POWI,2009-02-12,0.03176564120379777,1.0446971020247473,0.89999
LLY,2017-01-10,-0.014724462569254589,-1.0587728965748455,0.0523
MON,2008-10-29,-0.024380274320092852,-0.7501659077208833,0.20321
BBY,2012-12-07,0.03734348568141577,1.2841114202789912,0.93484
SYK,2009-01-27,0.0306528031381247,1.639825956570512,0.95346
LLY,2011-12-06,0.011562103728912625,1.3798736255624078,0.93495
DECK,2014-11-21,0.012477684419638563,0.6857688029159302,0.79444
EXTR,2008-11-05,-0.0062615123570978065,-0.1639801697586487,0.35768
DECK,2016-06-14,0.028855162675211966,1.290676945002541,0.91714
AMGN,2011-01-07,-0.00812397807711301,-0.6525932620075268,0.18168
MON,2008-09-17,0.011065846475507658,0.3557465126302325,0.67476
RHT,2010-10-13,0.009369314564118896,0.5880595429217291,0.80628
DECK,2013-07-05,0.009263236217343433,0.2722342269918694,0.68204
AAPL,2015-09-04,-0.0031108725570185604,-0.2529491649289489,0.36704
TGT,2008-02-29,0.008853624445538532,0.4044102065244109,0.70476
AAPL,2016-01-20,-0.010631291748040696,-0.8864343820569205,0.12269
DEPO,2014-07-17,-0.03093704815325956,-0.9446702739476089,0.09558
V,2013-11-14,0.003549169640812566,0.3087000260500642,0.72466
NKE,2009-07-15,0.00641396855781113,0.30368380401902184,0.64957
AMGN,2008-02-29,0.002072856749540089,0.14470016414822273,0.60108
DEPO,2014-06-17,0.012009504283618164,0.3686874430171549,0.72875
POWI,2014-06-30,0.015621736637477951,0.6517094627191783,0.83834
VSAT,2014-04-24,-0.00449112288142745,-0.2847715092056925,0.34537
DECK,2014-09-02,-0.022153427158997024,-1.0467588785589688,0.08947
POWI,2016-11-16,-0.0033398619942139286,-0.24892003903207038,0.37907
ENZ,2012-11-01,0.1985410478025328,5.894609550802822,1.0
