Stock_Ticker,Decision_Date,CAR,CAR/Sigma,Bootsratp p-value
AAPL,2012-11-06,-0.04238881250095126,-1.445903919190369,0.06494
AVX,2016-01-26,0.013795634778597689,0.6239621639149655,0.73258
AAPL,2010-10-01,-0.01573589106463165,-0.6052738733018488,0.26783
SNA,2016-04-28,-0.009141625994357482,-0.45489453508640604,0.29475
OSTK,2015-01-16,-0.1058087145435977,-1.994288252286159,0.01565
IPXL,2012-06-22,-0.057733500225783004,-1.2620537598640167,0.09153
IBM,2011-07-14,0.009155454318365019,0.6719654675289408,0.79427
GE,2014-07-07,-0.009657894488539237,-0.7118999925090049,0.23821
VAR,2012-02-23,0.0003732841546339482,0.013802937115193502,0.51229
YHOO,2010-04-29,-0.01307236083330238,-0.4575065271061351,0.32902
NVO,2011-02-18,0.021848646093635835,0.7440075987603673,0.81471
BELFA,2011-07-11,-0.026270835953744104,-0.567966933675885,0.28206
GILD,2016-12-15,0.006021902697024927,0.20454509128655024,0.5759
ZBH,2011-12-30,-0.015729961422212935,-0.6493785534779482,0.24337
MSFT,2009-05-20,-0.01277035644259342,-0.2750350893477707,0.37874
MSFT,2014-11-25,-0.009835486220546648,-0.5564931289376596,0.29484
CSCO,2014-01-30,0.013117892922011102,0.4027313611545826,0.76166
TXN,2014-09-19,0.016242575882191752,0.9183008889374404,0.84558
MSFT,2009-08-11,-0.0012131811520681266,-0.02820736295052681,0.46728
MSFT,2009-04-08,0.01666096579440194,0.39507959917956437,0.64998
AAPL,2015-02-24,0.0016546110620658996,0.07092292383231873,0.54331
IPXL,2013-12-06,-0.007544273568389116,-0.23086050037529424,0.43921
MMM,2014-04-29,0.018719888127780047,1.3696115122566919,0.9379
SNY,2017-01-05,-0.0031433417481514896,-0.13555910274908275,0.44767
CAMT,2011-08-11,0.011543410700549928,0.19388057708366085,0.60285
MSFT,2010-03-16,-0.0011900702568265957,-0.047619624169907754,0.47012
T,2013-10-07,0.02654191816926038,1.6254385598042886,0.96614
IPXL,2014-07-16,-0.016366939944519883,-0.43749477790993746,0.33024
PII,2009-04-16,0.04189127104814321,0.5865533190328384,0.7234
GILD,2017-01-26,0.023405293708146598,0.8927126204742194,0.83949
IPXL,2013-04-24,0.04046687757215588,0.6695196420260863,0.84698
RTN,2017-03-30,-0.0027926103788024335,-0.149985072119593,0.43703
AMAT,2010-07-06,-0.04827501615922099,-1.8477805749551273,0.03447
LLNW,2008-02-29,-0.37136717314052997,-2.941059165022306,0.01836
HOLX,2012-07-23,-0.008658731840586735,-0.27940402545619697,0.35848
BKS,2014-11-04,0.01113080419383886,0.2149709496858173,0.58183
HAE,2012-05-10,0.024415783482566556,1.21855665002627,0.89204
JNJ,2011-09-29,0.008303289845023015,0.5885037351478548,0.76133
AAPL,2012-11-07,-0.03561178373644425,-1.2179795172134387,0.09707
RDWR,2016-09-07,0.03228992819578123,0.8530356904538859,0.83368
LLY,2017-05-18,-0.022983965008244914,-0.807745354873521,0.12177
MSFT,2008-12-04,0.03344345014076598,0.894076063479875,0.82493
AVP,2011-11-18,-0.007908468453858945,-0.18171068554312195,0.2775
BELFA,2014-05-12,-0.03705187345109261,-0.8610434277341578,0.16666
AAPL,2016-09-14,0.09709472661923636,3.800546424789538,0.99895
HOLX,2013-06-27,-0.01707905884842658,-0.6498271251802002,0.24929
QTM,2008-08-20,-0.09718880363872148,-1.300696507242955,0.08899
IPXL,2013-07-16,0.004644321403873617,0.07426531903585408,0.46881
BSX,2009-01-23,0.07203905514788304,1.0431918979991799,0.86954
MGI,2009-09-24,-0.0628951720692888,-0.5512250384698694,0.28199
HAS,2013-10-04,-0.012773013570103825,-0.6109019985399251,0.24444
MMM,2012-11-30,-0.0077682219614795735,-0.7042154183815867,0.21413
TEX,2011-07-21,-0.08807493027392604,-2.5019517357965615,0.00611
AAPL,2014-11-25,0.012114220269441684,0.5439663209766434,0.76557
AAPL,2011-08-30,-0.03313200754755924,-1.5257481368144539,0.06178
CAMP,2017-04-24,-0.00738826643385853,-0.17924077293792165,0.33442
AAPL,2014-11-17,0.005097092857769113,0.22894167266748083,0.642
TEX,2011-05-26,0.020955663927638715,0.5623554174666325,0.73054
AAPL,2016-09-21,-0.019894830903882936,-0.7935857000762602,0.15643
PRGO,2014-06-23,0.042508160632874575,1.3367474569025057,0.92965
FFIV,2016-08-22,0.00788711145898311,0.24904343138660553,0.66462
AMAT,2010-07-23,-0.022608551812075352,-0.8741421801786945,0.18622
AET,2008-06-10,-0.034102958515739405,-0.9157068588933203,0.14759
VRX,2015-06-12,-0.012776873005744201,-0.35572940251791085,0.36106
ELY,2010-03-05,0.060848268869469826,1.1919385522121042,0.90097
AAPL,2014-05-05,0.0023279116639188732,0.08216273268803487,0.51302
AAPL,2017-05-05,0.038008806236578645,2.0089741256431535,0.95944
FOSL,2010-11-30,0.0017517101269607371,0.04520971473517222,0.55696
MNTA,2012-07-24,0.05741337551943764,0.8552560089345865,0.86932
WDC,2011-07-26,-0.02679613052414804,-0.6618062642457047,0.22627
ILMN,2013-06-05,-0.022566309415534766,-0.5942224800293147,0.24422
BELFA,2014-04-30,-0.08232937088075179,-1.8270192368993836,0.02713
ABT,2009-06-29,-0.027866742954025685,-0.7706146340091401,0.21051
ILMN,2013-03-14,-0.022177476666166696,-0.6480620455461936,0.23254
RMBS,2012-03-21,0.0016922231378502031,0.011025543097706906,0.40365
PRGO,2014-08-28,0.009454415380907986,0.27749805083458334,0.61861
SPLS,2012-01-20,0.04023249153580266,1.0121778539447042,0.89661
DORM,2009-12-11,-0.036452083100968924,-0.503282565981871,0.28982
TGT,2012-11-20,0.016370259282415565,0.9978176256093689,0.84823
IPXL,2009-01-14,-0.9068068315862371,-20.557450731624392,0.0
NUAN,2014-02-04,0.015066245028085653,0.3809791259409059,0.68852
GMED,2013-06-24,0.11768675981622052,2.0160966254354906,0.99067
BDX,2009-11-09,0.05029984037755905,1.545189240578721,0.95433
XLNX,2013-09-04,0.043309866186597934,2.1355298170401116,0.97755
BELFA,2010-12-29,-0.03497692188907507,-0.6239684906218171,0.25232
NTGR,2013-06-13,-0.018942625320278482,-0.47656452907323316,0.22727
DISCA,2010-06-16,-0.006791672526458489,-0.2390760854438872,0.41524
ITW,2008-12-10,-0.027839738972836668,-1.0398007791434891,0.14335
HOLX,2011-10-18,-0.04610509003588166,-2.0271492064737684,0.02081
WBA,2016-11-21,-0.005251782371630303,-0.23901014192343367,0.42993
NUAN,2008-11-06,-0.13891735748714776,-2.5307222791208317,0.00415
SNPS,2014-11-17,-0.005166505701823082,-0.3039171441368288,0.36098
VAR,2012-04-25,-0.08161151162540135,-3.5261963225427055,0.00031
CAMT,2015-07-07,-0.05309503944106729,-0.9816391370151106,0.14129
FOSL,2014-09-22,-0.009809045487169075,-0.3211830990161888,0.32807
AVP,2012-08-22,-0.03197601668767408,-0.6187278455299859,0.23684
PRGO,2009-04-17,0.011426729192341462,0.19494800213851407,0.56785
IPXL,2010-07-14,-0.06107164493022596,-1.4001553700646217,0.0682
HAS,2008-03-24,0.013502731352651507,0.3507295695736619,0.66549
LLY,2015-09-28,-0.018281506808957695,-0.7703155152872688,0.20569
CAMT,2015-02-09,-0.10487460582504068,-1.0407081657743258,0.08091
SYMC,2015-06-08,-0.008186299857488926,-0.32716607246934815,0.31756
CAMT,2012-05-01,0.07678566811528897,1.264079245581845,0.89633
BSX,2008-08-01,0.08495834531085006,2.251851811910143,0.98329
SSNI,2014-12-19,0.036941857968467356,0.4263099187417219,0.69343
WBA,2017-01-03,-0.013195735804304724,-0.599947090187267,0.26819
AVT,2016-01-28,-0.0022221145640574595,-0.1104155590722368,0.4683
LLY,2017-04-21,-0.01600748648175203,-0.5920995613505159,0.18394
AAPL,2013-02-26,-0.010234750705584075,-0.27585418742059764,0.33824
AAPL,2014-11-21,0.010329285792125423,0.4625433117780843,0.73117
VZ,2011-11-23,0.0030570236571149613,0.18955874045137328,0.56538
EGRX,2015-02-24,0.006380761552887517,0.09908180523064236,0.57539
MNTA,2016-03-01,-0.07938803846929433,-1.5248627795243497,0.06598
TGT,2014-01-03,0.0029865171136960154,0.16765481357131962,0.54557
SHLD,2017-05-12,-0.2906175344774418,-3.0447239117580116,0.00084
CSCO,2016-05-12,0.005273422970696981,0.22169681384935275,0.66703
BELFA,2011-08-17,-0.02029631792853441,-0.46074993267166736,0.3165
PWR,2012-04-13,0.008435072377873259,0.23336159210712412,0.65043
ABT,2009-12-18,-0.0012055690821957397,-0.045765781407662194,0.48016
JNJ,2011-01-28,-0.0019709337548885434,-0.15867568525885317,0.42568
IPXL,2011-10-06,-0.003463355948229406,-0.06690438532587421,0.48127
PRGO,2011-05-17,-0.005657810074877571,-0.19041831058409536,0.43773
AHPI,2016-02-12,-0.02123544018122908,-0.3160957066110813,0.36486
WMT,2014-05-07,0.015276732334993347,1.2389672573187986,0.89296
DE,2012-01-27,-0.00610259683520982,-0.26740908001312824,0.40716
ROK,2013-03-15,-0.023873606663770454,-1.0507015147474679,0.1354
FOSL,2014-06-27,0.00787979517874314,0.26198821484890994,0.61666
AAPL,2015-10-26,0.012589459935900361,0.5346358025855164,0.69909
CTXS,2012-06-18,0.018621232612934947,0.4641347461652826,0.73634
SHLD,2017-01-03,0.1428090114005633,2.042026480597536,0.97853
CSCO,2014-07-23,0.002316238756110039,0.08767819810288703,0.54233
GMED,2013-06-14,0.011743806872456748,0.1976886824120551,0.55537
CAMT,2010-11-17,0.004075309264655632,0.073876393680374,0.53489
NTGR,2013-08-08,0.021855933770953802,0.5401122802249694,0.73495
GILD,2016-03-24,-0.013835793015637296,-0.4620309970365405,0.2972
CGNX,2015-05-14,0.031636235383311825,1.0958917985244936,0.86924
AAPL,2009-12-03,-0.04743416044454807,-1.8381286932370007,0.02765
HON,2014-06-17,-0.005771528122322922,-0.48767246377656576,0.29054
CAMT,2009-03-05,-0.15971856973673776,-1.8725873862846854,0.03842
BKS,2017-01-12,0.018619412839707004,0.3867603987953559,0.68604
CSCO,2011-09-28,0.00024026448004730618,0.0065671679340741735,0.47903
YHOO,2009-05-15,0.018496213639727286,0.26404934774098426,0.60114
ABT,2009-03-19,-0.041367662177706446,-1.2931676028413934,0.09889
SSNI,2014-06-06,0.13922283388427403,1.4735588669904274,0.96957
AAPL,2014-05-02,0.010789799992993638,0.3813327576271645,0.6538
GEVO,2012-07-06,-0.05282622887503641,-0.5089864939997305,0.31329
TECD,2008-11-19,-0.1669583986526737,-6.410883175996105,0.0
JBT,2017-03-08,0.0027058844923493015,0.09763452417683587,0.54982
CAMT,2009-08-28,0.018145437619716535,0.13884677875683232,0.58369
HOLX,2011-10-17,-0.045562911019836484,-1.9634692919056473,0.0271
SYMC,2015-02-06,-0.029857537926830827,-1.5061988092764367,0.04759
YHOO,2010-03-08,0.045559854503179203,1.2151278152623666,0.90932
IPXL,2014-06-23,0.044339213726870545,1.179941030801747,0.88522
CGNX,2015-05-01,-0.015156454293689402,-0.5420976033553908,0.28803
SSNI,2014-11-14,-0.042677805930408465,-0.5155828693960729,0.1872
NATI,2013-06-19,0.011150000447539419,0.4349944372345127,0.7177
CBS,2014-09-15,-0.021223595576798152,-0.8823607335723344,0.18476
AMZN,2017-03-14,-0.002851104053906017,-0.1311686340369807,0.40789
SUPN,2013-04-29,0.12541364053967138,1.5125569263788208,0.95531
MNTA,2013-12-20,-0.032360275264853515,-0.802231326957124,0.19055
LZB,2016-03-16,0.011229916391358494,0.2832574696188701,0.68237
AVT,2016-02-17,0.02739465886729052,1.3351196075995384,0.91579
DE,2016-06-22,-0.025430112948042857,-0.9060273908844436,0.1599
ZBH,2011-10-03,-0.0561549351739814,-2.3300656095573067,0.00952
CAMT,2012-03-26,0.05346865544159314,0.8143109216728948,0.80185
HOLX,2012-01-09,0.023732504639206453,0.8446143162802049,0.82713
AAPL,2016-09-30,0.0001733828744259966,0.0065462341197588935,0.50996
STI,2011-04-12,-0.030528730784284322,-0.9353978878052895,0.17069
MSTR,2008-11-20,0.026676891160176804,0.501544676062969,0.69879
FOSL,2016-03-28,0.0018543838213131575,0.021291442082413237,0.46776
CSCO,2011-04-08,-0.007058657456664579,-0.16545211383985042,0.23461
BKS,2017-03-22,-0.019326867509985468,-0.39763340635987765,0.29956
CAMP,2016-02-24,-0.0057336714688114195,-0.1263009294472351,0.48653
LLNW,2016-07-01,0.00308371568651708,0.035271544217655604,0.5538
RMBS,2012-01-11,0.005432897428500311,0.03505844874051568,0.39735
BSX,2008-05-27,-0.020477463011421698,-0.5395144722826928,0.30163
XLNX,2013-08-30,0.0380850188062971,1.8892023967248002,0.96399
AAPL,2014-11-20,0.012802760509494224,0.5733781285247131,0.77068
AMPH,2016-05-09,0.07601881362925263,1.3251740370487406,0.91085
IPXL,2013-06-19,-0.026765344913368357,-0.43211388487270613,0.16437
MSFT,2009-04-21,0.002356941759278931,0.05420001383076771,0.50639
SHLD,2016-11-21,0.06723547202762113,0.9928408482743768,0.84228
IBM,2011-02-23,-0.005651545742037613,-0.3931132574745591,0.31927
PLT,2012-10-23,0.028735132833399193,0.9062996924404381,0.89545
NUVA,2011-09-29,-0.21225791516103432,-5.360487753071067,0.0
BDX,2010-05-19,-0.007455765007425426,-0.46180062482599393,0.32245
PRGO,2016-12-14,0.01803586762107566,0.33419542056260315,0.62473
CENT,2010-06-02,-0.01591438876799044,-0.37745578365588567,0.3138
DSW,2012-02-22,-0.0035830523929782027,-0.08186391557614567,0.45883
NUVA,2012-03-02,-0.019385092551457397,-0.27998620087372134,0.37299
ANDE,2014-04-28,-0.043751920488507956,-1.2533207124405756,0.08714
DORM,2010-01-05,-0.034927012908518025,-0.5069261205563537,0.28672
YHOO,2010-02-01,-0.007046697517081778,-0.18469865107922748,0.39671
POWI,2015-06-05,-0.014346415916554467,-0.3972990114263387,0.30804
TECD,2009-05-07,-0.05095682336483439,-1.1297555874282135,0.11913
AAPL,2016-12-15,0.01667801145841383,0.6730434993637648,0.79948
VZ,2011-10-14,0.003283985163571753,0.19753592342085102,0.57291
