ATEN,2013-02-12,"[-60, -30)",the Event Date does not exist in its price file
ATEN,2013-02-12,"[-2, 0)",the Event Date does not exist in its price file
CDW,2009-05-07,"[-60, -30)",the Event Date does not exist in its price file
CDW,2009-05-07,"[-2, 0)",the Event Date does not exist in its price file
LLY,2017-06-16,"[-60, -30)",the Event Date does not exist in its price file
LLY,2017-06-16,"[-2, 0)",the Event Date does not exist in its price file
FACTOR_ERROR,2017-06-16,"[-60, -30)",TYPE: Mkt-RF,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-06-16,"[-2, 0)",TYPE: Mkt-RF,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-06-16,"[-60, -30)",TYPE: Mkt-RF,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-06-16,"[-2, 0)",TYPE: Mkt-RF,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-06-16,"[-60, -30)",TYPE: SMB,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-06-16,"[-2, 0)",TYPE: SMB,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-06-16,"[-60, -30)",TYPE: HML,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-06-16,"[-2, 0)",TYPE: HML,the Event Date does not exist in the factor file
LLY,2017-06-01,"[-60, -30)",the Event Date does not exist in its price file
LLY,2017-06-01,"[-2, 0)",the Event Date does not exist in its price file
FACTOR_ERROR,2017-06-01,"[-60, -30)",TYPE: Mkt-RF,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-06-01,"[-2, 0)",TYPE: Mkt-RF,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-06-01,"[-60, -30)",TYPE: Mkt-RF,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-06-01,"[-2, 0)",TYPE: Mkt-RF,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-06-01,"[-60, -30)",TYPE: SMB,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-06-01,"[-2, 0)",TYPE: SMB,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-06-01,"[-60, -30)",TYPE: HML,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-06-01,"[-2, 0)",TYPE: HML,the Event Date does not exist in the factor file
SUPN,2012-07-18,"[-60, -30)",Not enough price data for this duration
AVT,2016-09-13,"[-60, -30)","Zero Price error, 2016-06-29 price is : 0.000000 | "
PRGO,2017-06-09,"[-60, -30)",the Event Date does not exist in its price file
PRGO,2017-06-09,"[-2, 0)",the Event Date does not exist in its price file
FACTOR_ERROR,2017-06-09,"[-60, -30)",TYPE: Mkt-RF,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-06-09,"[-2, 0)",TYPE: Mkt-RF,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-06-09,"[-60, -30)",TYPE: Mkt-RF,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-06-09,"[-2, 0)",TYPE: Mkt-RF,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-06-09,"[-60, -30)",TYPE: SMB,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-06-09,"[-2, 0)",TYPE: SMB,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-06-09,"[-60, -30)",TYPE: HML,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-06-09,"[-2, 0)",TYPE: HML,the Event Date does not exist in the factor file
GE,2017-05-26,"[-60, -30)",the Event Date does not exist in its price file
GE,2017-05-26,"[-2, 0)",the Event Date does not exist in its price file
AMPH,2011-10-07,"[-60, -30)",the Event Date does not exist in its price file
AMPH,2011-10-07,"[-2, 0)",the Event Date does not exist in its price file
TWTR,2012-01-27,"[-60, -30)",the Event Date does not exist in its price file
TWTR,2012-01-27,"[-2, 0)",the Event Date does not exist in its price file
GMED,2009-08-06,"[-60, -30)",the Event Date does not exist in its price file
GMED,2009-08-06,"[-2, 0)",the Event Date does not exist in its price file
IPXL,2013-06-19,"[-2, 0)","Prices are constant in this duration, not useful"
ATEN,2011-09-06,"[-60, -30)",the Event Date does not exist in its price file
ATEN,2011-09-06,"[-2, 0)",the Event Date does not exist in its price file
AAPL,2016-01-18,"[-60, -30)",the Event Date does not exist in its price file
AAPL,2016-01-18,"[-2, 0)",the Event Date does not exist in its price file
FACTOR_ERROR,2016-01-18,"[-60, -30)",TYPE: Mkt-RF,the Event Date does not exist in the factor file
FACTOR_ERROR,2016-01-18,"[-2, 0)",TYPE: Mkt-RF,the Event Date does not exist in the factor file
FACTOR_ERROR,2016-01-18,"[-60, -30)",TYPE: Mkt-RF,the Event Date does not exist in the factor file
