Stock_Ticker,Decision_Date,MFCAR,MFCAR/Sigma
YHOO,2010-04-29,-0.010672748328088833,-0.84866529678021685
BBY,2012-12-07,0.024996068392850689,1.3459650784506008
BXS,2010-03-26,0.014202238750168079,0.92967779857049004
INTC,2014-06-20,0.0032616670586641076,0.40010047801023768
LLY,2011-12-06,-0.0035608968552140905,-0.35440561992390718
DECK,2014-11-21,-0.0067673408460127401,-0.36611433323682668
EXTR,2008-11-05,0.015597251796710485,0.72699873382430302
WBA,2016-07-12,0.0006610598642242697,0.06270516926196118
TXN,2013-06-25,0.0010802409299458596,0.12406891227627487
IBM,2012-07-18,-0.011542216358600567,-2.7071247820575461
PWR,2012-04-13,0.0012096799577402031,0.10914935549567525
CAMT,2011-08-11,-0.014263036508579095,-0.46606071185522424
NOK,2016-12-15,0.0062106187324987606,0.26647162248465389
CI,2015-10-22,-0.031750702716236666,-2.8107949806955999
MRVL,2014-05-07,-0.027354596653388397,-1.8990589649716394
AAPL,2010-11-10,-0.0066309367732257408,-0.67543952337028357
BONT,2014-04-03,0.015422781088016133,0.4946863305291998
AAPL,2012-09-04,-0.0017910913970614387,-0.25221736334568168
AAPL,2011-01-05,0.010137844685470354,1.089812772226401
CSCO,2016-04-06,-0.015630317725363579,-0.66360012620047115
PFE,2010-01-22,-0.016140409695003643,-1.563537777887329
DEPO,2014-07-17,-0.026352169439089954,-0.50282401888277817
NKE,2009-07-15,-0.0038693957942125736,-0.17776629500679644
T,2009-09-09,0.0047335917743098139,0.43591056219841129
POWI,2014-06-30,0.0093293206307221432,0.20203312982927871
BCR,2009-03-31,-0.0054601444757593522,-0.42547485934267226
ENZ,2012-11-01,-0.0396696280321783,-1.254888298265151
BBBY,2015-09-11,-0.0092506505851875104,-1.0186995954856881
RTEC,2012-03-26,3.7738829595682782e-05,0.0027500551476001521
MSFT,2012-11-07,0.0017112485649933666,0.23660684668173892
AMGN,2008-10-17,0.055883532866100837,2.1464074249676695
ABT,2009-06-29,-0.0030624505857062365,-0.14313263034546581
TMUS,2016-09-14,0.00022444509979889157,0.021525150703535063
NKE,2012-02-07,0.00056337890565636426,0.048831037207221331
WHR,2016-05-06,0.0010484686057116079,0.079129223058790582
NTAP,2015-03-27,-0.00083664056551323654,-0.093814501469430198
ABT,2014-07-15,0.0087932517661104652,1.504605229753746
NTGR,2016-07-22,-0.011660025231879648,-0.49005296435956963
AMTD,2011-02-23,0.0023057931534532505,0.18924020250621645
TXN,2016-04-25,-0.0086224538634271843,-0.82741255174032624
BRCD,2013-06-10,0.040258736224108228,3.5240050644607934
NOK,2013-03-01,-0.027827825865182586,-0.6593533393043105
YHOO,2009-12-14,0.0099709974986442636,0.52304241058431433
SHLD,2016-10-31,0.032042175760675924,1.1774211717576097
FMC,2013-02-08,-0.034034292049075883,-2.6769857928992589
WMT,2013-02-07,0.0097285541959997203,0.83101675889882154
LLY,2008-07-02,0.0002218045029981075,0.016417175009399491
GE,2011-06-21,-0.0041682602614473456,-0.46586063547988515
SYK,2017-05-16,0.0022443358079319653,0.42627710598720414
VZ,2011-11-23,0.0051488819721204762,0.78105269089322704
ACTG,2010-06-04,0.031542132846272289,1.3272931931258134
MON,2011-11-07,-0.0025788022883970691,-0.16979248281616141
BELFA,2011-08-17,0.021867047900723573,0.88777388673180613
ABT,2009-12-18,0.00033830408629409101,0.031237362700428501
NWS,2016-04-12,0.0075249774065963299,0.52118889115315425
EGRX,2015-05-18,0.017430147548985361,0.45338823852153676
MSFT,2016-12-23,-0.0017997913175079212,-0.2019631395572806
AVX,2016-01-26,0.020033300817915444,3.4266437297907655
