Stock_Ticker,Decision_Date,MFCAR,MFCAR/Sigma
PHG,2013-11-21,0.0037699302258764975,0.38170407612764334
HPQ,2009-03-30,-0.018557853359994731,-0.80489218661325612
BXS,2011-08-03,0.025719184987705299,2.3223413415827499
MON,2008-10-29,-0.042771644092604359,-1.9022905682615252
CAT,2015-10-22,0.0048894972543817566,0.47756467681633374
BBY,2012-12-07,0.039265529831531906,2.1143337867973786
NVDA,2012-03-21,0.0095106581336350006,0.58306233340043545
GILD,2016-12-15,-0.012365309823026523,-1.2121594946615004
INTC,2014-06-20,-0.00053169641297730981,-0.065221858994915241
AVT,2013-09-04,-0.011586073876718877,-1.4605198541990227
MSFT,2017-01-25,0.007127860243546176,0.99629078449522657
EXTR,2008-11-05,-0.011412174940449535,-0.53192939628236569
NOK,2013-11-21,-0.01250246611536102,-0.22510325540923204
KYO,2009-11-19,-0.00029570045728218475,-0.018993755911334318
KODK,2014-06-17,0.0084323695818483441,0.2087795597282735
MSFT,2015-08-20,-0.023621732100218569,-3.9719931293803965
MRO,2015-09-04,-0.026326241392593881,-1.7146859441547082
CAMT,2011-08-11,0.041850080921792106,1.3674983229466791
NOK,2016-12-15,0.035670836546834041,1.530486107653148
CI,2015-10-22,0.016420634615633138,1.4536697902391715
IBM,2011-02-23,0.0054675771980701917,1.1234353353112836
AAPL,2010-11-10,-0.00287473116190739,-0.29282545019228862
BONT,2014-04-03,0.014329468767635328,0.45961829339601401
MON,2008-09-17,0.019799539538679363,0.75572399910281673
RHT,2010-10-13,-0.0025195213236880107,-0.14219577878198722
MSFT,2008-12-04,0.014993112379916435,0.63134995119410375
AAPL,2012-09-04,-0.0037665296240994841,-0.5303940225006768
XLNX,2015-04-15,0.0083066986956056004,0.48010567595396147
NVDA,2013-05-08,0.0023728178402404529,0.28628190815011284
AAPL,2015-09-04,-0.0029405829549793358,-0.28579200557815893
HPQ,2017-04-12,0.0087784524452265613,0.45187751483687011
TGT,2008-02-29,0.011534116047281558,0.48561321541289154
CCV,2015-03-27,0.0022691779176051037,0.79933464908448304
CSCO,2008-03-18,-0.0091227063238793829,-0.81281733902491271
USB,2016-05-20,0.0049920313527855396,0.72888441149656336
SHLD,2016-04-26,0.022354328054066841,0.58946083077644096
TEX,2014-01-31,0.022757062408735332,1.9724047988375859
MCK,2009-03-30,-0.04373000651095485,-1.6368389478796659
BBT,2011-08-02,0.004610140696606529,0.44113059853168202
JNPR,2008-03-18,0.0061183804102348388,0.19850988057311031
AMAT,2010-07-23,-0.011104167749915265,-0.95680445310067752
VSAT,2014-04-24,0.0020146064619612492,0.085241260889038453
BCR,2009-03-31,-0.014712506362819257,-1.1464534689676198
ENZ,2012-11-01,0.16189376225925817,5.1212627367332475
