Stock_Ticker,Decision_Date,MFCAR,MFCAR/Sigma
AAPL,2012-11-06,-0.025472420212070544,-2.2442393311864746
AAPL,2010-10-01,-0.0066801377882968922,-0.56284476452152987
SNA,2016-04-28,-0.00099073742771183665,-0.058505276348086943
OSTK,2015-01-16,-0.026191319413664767,-1.0614739699815705
IPXL,2012-06-22,-0.1142832355976459,-5.5754150374006004
IBM,2011-07-14,0.0050881686832268775,0.73392628991482756
GE,2014-07-07,-0.010720786853255868,-1.9361575853749773
VAR,2012-02-23,0.0027744144181782188,0.34954861447319141
YHOO,2010-04-29,-0.010044379834309371,-0.79869929759543334
NVO,2011-02-18,-0.015912511263277668,-1.3184546964512274
BELFA,2011-07-11,0.0052035160937715774,0.29175981870417983
GILD,2016-12-15,-0.012365309823026523,-1.2121594946615006
ZBH,2011-12-30,-0.0081569161816449319,-0.77908796067310004
MSFT,2009-05-20,-0.0068361431489563362,-0.30297454830209969
MSFT,2014-11-25,-0.0010415709233753392,-0.11860536761393238
CSCO,2014-01-30,-0.00086389677465644257,-0.035197947473083337
TXN,2014-09-19,0.0098926375239893893,1.3062795982395394
MSFT,2009-08-11,0.0064953799710411458,0.53253440713727551
MSFT,2009-04-08,-0.032926491493329775,-1.3862176900559291
AAPL,2015-02-24,-0.029232532329117208,-3.6565190986739236
IPXL,2013-12-06,0.0093872273650461059,0.66777957085480799
MMM,2014-04-29,0.0088978193737638649,1.4904379733224129
SNY,2017-01-05,-0.030339398183024929,-1.9166591413438323
CAMT,2011-08-11,0.041850080921792106,1.3674983229466791
MSFT,2010-03-16,0.0032738847695318986,0.33769049046932847
T,2013-10-07,-0.0054858278062581622,-0.76615161438849744
IPXL,2014-07-16,-0.015813907256579458,-1.1836735576955777
PII,2009-04-16,-0.01053707672046892,-0.34716219013229632
GILD,2017-01-26,0.0049842306106766664,0.40923025330279755
IPXL,2013-04-24,0.020747407485110624,0.35004549708200089
RTN,2017-03-30,-0.0031741672937465682,-0.36741223520511601
AMAT,2010-07-06,-0.0035916630702184094,-0.29256095550551131
LLNW,2008-02-29,-0.14012192429238349,-3.2559270483348648
HOLX,2012-07-23,0.011263707279678275,0.52922947002209997
BKS,2014-11-04,0.010535911648303854,0.5378039680654545
HAE,2012-05-10,-0.0029287056290817591,-0.5423823985740196
JNJ,2011-09-29,0.012891901425520423,1.6453992553949655
AAPL,2012-11-07,-0.026681454607403954,-2.3548736133537322
RDWR,2016-09-07,0.0070058102185130162,0.60156715339347966
LLY,2017-05-18,-0.021870948166744897,-3.0556657210240266
MSFT,2008-12-04,0.014993112379916435,0.63134995119410375
AVP,2011-11-18,0.012985745813647981,1.2890258801958159
BELFA,2014-05-12,0.066598005010131911,4.0370975057784495
AAPL,2016-09-14,0.020882327108358443,1.4634191747262382
HOLX,2013-06-27,0.016020552425258711,0.99992655974632194
QTM,2008-08-20,0.011627430577076922,0.27821467185982196
CSCO,2017-05-25,0.0014897420885217941,0.3551791486367889
IPXL,2013-07-16,-0.0072028227388271394,-0.30987748909152468
BSX,2009-01-23,0.019259595304737875,0.40071331706667307
MGI,2009-09-24,-0.033899889232904913,-0.49568138662841382
HAS,2013-10-04,-0.0071640857655911987,-0.61398583715450639
MMM,2012-11-30,-0.0027484844583213798,-0.41543855389738832
TEX,2011-07-21,-0.0023127100145388995,-0.21365460656986396
AAPL,2014-11-25,0.0076580788442194752,0.51611462122473473
AAPL,2011-08-30,-0.01846830874781635,-1.8019952818296643
CAMP,2017-04-24,-0.0044130941691683905,-0.40038001418110752
AAPL,2014-11-17,0.0082549727992882026,0.56902324441994989
TEX,2011-05-26,0.018760990375063395,0.87713138315696249
AAPL,2016-09-21,-0.0037498830015426799,-0.26336179831136586
PRGO,2014-06-23,0.0047036779183419475,0.2768097157602209
FFIV,2016-08-22,0.001291040370929422,0.050644126617015665
AMAT,2010-07-23,-0.011104167749915265,-0.95680445310067752
AET,2008-06-10,0.00081116041043463247,0.035031004770507905
VRX,2015-06-12,0.0052907571174331978,0.32057666544179175
ELY,2010-03-05,0.013254392459983059,0.77634341804807261
AAPL,2014-05-05,-0.0044661778205701379,-0.52276139622329088
AAPL,2017-05-05,0.023426249398674347,5.413248838125476
FOSL,2010-11-30,-0.010519775706796259,-0.63661991603565071
MNTA,2012-07-24,0.015863011470903562,0.8048035956055728
WDC,2011-07-26,-0.0064608257844350515,-0.67438262779917069
ILMN,2013-06-05,-0.0055091893650240338,-0.48624335928478341
BELFA,2014-04-30,-0.0086230802254718773,-0.36881063944502224
ABT,2009-06-29,-0.011553438272191473,-0.53998389954474413
ILMN,2013-03-14,-0.014286449084092412,-0.61380574859276482
RMBS,2012-03-21,0.016496634890089169,0.5538667455852434
PRGO,2014-08-28,-0.015223993469675873,-0.77616053654570794
SPLS,2012-01-20,-0.012351680374857602,-0.6241154239076856
DORM,2009-12-11,0.0032476974650996852,0.19981209441660805
TGT,2012-11-20,0.010080873843731715,1.456898602556318
NUAN,2014-02-04,-0.016311372520016149,-0.40730474655192073
GMED,2013-06-24,0.059333004850477739,2.5144332734208086
BDX,2009-11-09,0.0012711649124505931,0.12008697708955902
XLNX,2013-09-04,-0.0015705611363939229,-0.11538892380800837
BELFA,2010-12-29,-0.0084099638244764449,-0.28049806678332356
NTGR,2013-06-13,-0.0039594795871087714,-0.18639003622365069
DISCA,2010-06-16,-0.0077679029498084794,-0.64176060643781219
ITW,2008-12-10,-0.012472316401246374,-0.53031961039977205
HOLX,2011-10-18,-0.0055712469713688588,-0.41194519977872546
WBA,2016-11-21,-0.016326929742536651,-1.9245852917509974
NUAN,2008-11-06,-0.029823454897220887,-1.4234131350241641
SNPS,2014-11-17,0.0031279340009059673,0.56977642559945685
VAR,2012-04-25,-0.10084148708791225,-11.776866944474349
CAMT,2015-07-07,0.01667478038676759,0.5000735882091375
FOSL,2014-09-22,0.0088128600241827344,0.95922978009565729
AVP,2012-08-22,-0.017413340165254823,-0.92619309158447272
PRGO,2009-04-17,0.024910607454177666,0.49833205388018642
IPXL,2010-07-14,-0.011091327404903949,-0.38964628705161858
HAS,2008-03-24,0.0042747506491760227,0.20288529416417794
LLY,2015-09-28,0.015053836860563503,1.5310486425849168
CAMT,2015-02-09,-0.068895694531752399,-2.9536506550785013
SYMC,2015-06-08,0.00059660791315947152,0.037678852012588526
BSX,2008-08-01,0.02193634708754319,1.4496219188307828
SSNI,2014-12-19,0.0034140523725627678,0.15433462281940044
WBA,2017-01-03,-0.010439953885391422,-0.78028580533139547
AVT,2016-01-28,0.0057412810529328707,0.56131309949614283
GGG,2016-11-17,-0.0093542299546439424,-1.0282499032842258
LLY,2017-04-21,0.0079141935887286022,0.84956021566982753
AAPL,2013-02-26,-0.026014910935692123,-1.6596872516379766
AAPL,2014-11-21,0.011165303292772412,0.75438867976321966
EGRX,2015-02-24,-0.003948288718224658,-0.10139658515663684
MNTA,2016-03-01,0.079258504117911008,2.6468493053170365
TGT,2014-01-03,-0.0091784867559838133,-1.0543679701860926
SHLD,2017-05-12,-0.16309212091139047,-2.7003862666516452
CSCO,2016-05-12,0.0032273641127158218,0.48544570614468774
BELFA,2011-08-17,-0.10345879263317856,-4.2002932846503551
BOX,2015-08-20,0.0079402149185277861,0.29704704656990527
PWR,2012-04-13,0.020434581614196569,1.8438111657069771
ABT,2009-12-18,0.0023314323887400415,0.21527318790731126
JNJ,2011-01-28,-0.0089886433785663147,-1.9626965785233039
IPXL,2011-10-06,-0.00092051640959021908,-0.029480790953432524
PRGO,2011-05-17,0.0014739189811797063,0.13212981295384946
AHPI,2016-02-12,-0.16947338462622444,-5.7459929695928853
GGG,2016-12-01,-0.0055968139339585225,-0.45355259122406261
WMT,2014-05-07,0.0058873019924076501,0.77154042121519051
DE,2012-01-27,-0.00358903017448511,-0.25440921027586633
ROK,2013-03-15,-0.0081095809589102098,-1.1502609803006192
