Stock_Ticker,Decision_Date,MFCAR,MFCAR/Sigma
MMM,2009-01-20,-0.02072226161800093,-0.99561212837326518
POWI,2009-02-12,0.021806944242232947,0.97327013633802084
LLY,2017-01-10,-0.012344550021611233,-0.51490241019186245
MON,2008-10-29,-0.042771644092604359,-1.9022905682615252
YHOO,2010-04-29,-0.010044379834309371,-0.79869929759543334
BBY,2012-12-07,0.039265529831531906,2.1143337867973786
SYK,2009-01-27,0.037078321806991305,1.5618800964077562
GILD,2016-12-15,-0.012365309823026523,-1.2121594946615006
LLY,2011-12-06,0.013638807513082066,1.3574305092883907
DECK,2014-11-21,-0.0098044327427847834,-0.5304215404644339
EXTR,2008-11-05,-0.011412174940449535,-0.53192939628236569
DECK,2016-06-14,0.025858509259950809,1.9001766244976459
AMGN,2011-01-07,-0.0025604562525709954,-0.25911924468038555
MSFT,2009-04-21,-0.015108479686244474,-1.0102107358928019
PWR,2012-04-13,0.020434581614196569,1.8438111657069771
CAMT,2011-08-11,0.041850080921792106,1.3674983229466791
TGT,2012-11-20,0.010080873843731715,1.456898602556318
MON,2008-09-17,0.019799539538679363,0.75572399910281673
RHT,2010-10-13,-0.0025195213236880107,-0.14219577878198722
MSFT,2008-12-04,0.014993112379916435,0.63134995119410375
DECK,2013-07-05,0.015191455189234104,0.66489869504194687
HOLX,2013-06-27,0.016020552425258711,0.99992655974632194
AAPL,2015-09-04,-0.0029405829549793358,-0.28579200557815893
TGT,2008-02-29,0.011534116047281558,0.48561321541289154
AAPL,2016-01-20,-0.010345553781576228,-0.74999461001815182
DEPO,2014-07-17,-0.042263657312290127,-0.8064300767179694
V,2013-11-14,0.0047187119850345908,0.42564118784771288
NKE,2009-07-15,-0.0051225566452231782,-0.23533852937602645
AMGN,2008-02-29,0.002570323126695459,0.15415874883757147
DEPO,2014-06-17,0.020684874448120772,0.67031273936117519
FFIV,2016-08-22,0.001291040370929422,0.050644126617015672
POWI,2014-06-30,0.020898390662544852,0.45256963942744133
VSAT,2014-04-24,0.0020146064619612492,0.085241260889038453
