Stock_Ticker,Decision_Date
PHG,"November 21, 2013"
HPQ,"March 30, 2009"
BXS,"August 3, 2011"
MON,"October 29, 2008"
CAT,"October 22, 2015"
BBY,"December 7, 2012"
NVDA,"March 21, 2012"
GILD,"December 15, 2016"
INTC,"June 20, 2014"
AVT,"September 4, 2013"
MSFT,"January 25, 2017"
EXTR,"November 5, 2008"
NOK,"November 21, 2013"
KYO,"November 19, 2009"
KODK,"June 17, 2014"
MSFT,"August 20, 2015"
MRO,"September 4, 2015"
CAMT,"August 11, 2011"
NOK,"December 15, 2016"
CI,"October 22, 2015"
IBM,"February 23, 2011"
AAPL,"November 10, 2010"
BONT,"April 3, 2014"
MON,"September 17, 2008"
RHT,"October 13, 2010"
MSFT,"December 4, 2008"
AAPL,"September 4, 2012"
XLNX,"April 15, 2015"
NVDA,"May 8, 2013"
AAPL,"September 4, 2015"
HPQ,"April 12, 2017"
TGT,"February 29, 2008"
CCV,"March 27, 2015"
CSCO,"March 18, 2008"
USB,"May 20, 2016"
SHLD,"April 26, 2016"
TEX,"January 31, 2014"
MCK,"March 30, 2009"
BBT,"August 2, 2011"
JNPR,"March 18, 2008"
AMAT,"July 23, 2010"
VSAT,"April 24, 2014"
BCR,"March 31, 2009"
ENZ,"November 1, 2012"
ODP,"March 21, 2014"
RMBS,"March 8, 2010"
NOK,"August 24, 2012"
MSFT,"November 7, 2012"
BBRY,"July 13, 2012"
PHG,"March 25, 2008"
AVP,"August 22, 2012"
ABT,"June 29, 2009"
CHKP,"June 8, 2015"
TMUS,"September 14, 2016"
MMM,"January 26, 2009"
IBM,"May 2, 2014"
INTC,"November 7, 2013"
INTC,"November 7, 2012"
NTAP,"March 27, 2015"
FMC,"May 13, 2011"
BXS,"March 26, 2010"
NTGR,"June 13, 2013"
NOK,"June 20, 2014"
JCOM,"December 15, 2016"
LLY,"May 18, 2017"
AMTD,"February 23, 2011"
DE,"October 22, 2015"
BRCD,"June 10, 2013"
BELFA,"April 30, 2014"
STI,"November 25, 2013"
CFG,"August 3, 2011"
YHOO,"December 14, 2009"
ZION,"September 28, 2015"
SYMC,"June 8, 2015"
PHG,"August 24, 2012"
RTEC,"August 11, 2011"
