Stock_Ticker,Decision_Date
AAPL,"November 6, 2012"
BSX,"May 12, 2011"
AAPL,"October 1, 2010"
BKS,"November 4, 2014"
PHG,"November 21, 2013"
OSTK,"January 16, 2015"
NOK,"March 19, 2014"
PX,"May 26, 2010"
MRO,"September 4, 2015"
CHSCL,"November 25, 2013"
CME,"April 15, 2011"
VAR,"February 23, 2012"
VIA,"January 23, 2014"
AAPL,"September 21, 2016"
BBT,"March 26, 2010"
ATEN,"August 6, 2012"
GILD,"December 15, 2016"
INTC,"October 5, 2010"
INTC,"April 9, 2008"
AVT,"May 18, 2012"
MSFT,"May 2, 2014"
MSFT,"May 20, 2009"
NOK,"November 21, 2013"
MSFT,"April 8, 2009"
AAPL,"February 24, 2015"
FII,"November 25, 2013"
TECD,"November 19, 2008"
EXTR,"May 30, 2008"
SNPS,"October 10, 2014"
MSFT,"March 16, 2010"
SATS,"May 26, 2017"
DD,"August 1, 2012"
CHKP,"February 6, 2015"
VLO,"November 25, 2013"
PII,"April 16, 2009"
GILD,"January 26, 2017"
EBAY,"January 16, 2015"
IBM,"February 23, 2011"
LLNW,"February 29, 2008"
BONT,"April 3, 2014"
AAPL,"October 19, 2015"
ILMN,"June 19, 2013"
HPQ,"October 7, 2016"
AVP,"November 18, 2011"
AAPL,"September 14, 2016"
TGT,"November 6, 2012"
DE,"November 25, 2013"
MGI,"September 24, 2009"
MSFT,"May 15, 2008"
MMM,"November 30, 2012"
DUK,"October 3, 2016"
MTB,"March 26, 2010"
MSFT,"March 19, 2014"
AMZN,"April 15, 2011"
CSCO,"May 12, 2016"
POWI,"December 18, 2015"
SNX,"November 19, 2008"
MRO,"January 14, 2016"
INTC,"May 2, 2014"
ENZ,"November 1, 2012"
ELY,"March 5, 2010"
AAPL,"November 17, 2014"
HPQ,"May 26, 2017"
AAPL,"May 5, 2014"
ITRI,"June 6, 2014"
BBRY,"July 13, 2012"
NOK,"September 30, 2014"
WDC,"July 26, 2011"
ABT,"June 29, 2009"
ILMN,"March 14, 2013"
TGT,"January 16, 2015"
HAE,"January 30, 2009"
TWX,"May 15, 2009"
BWA,"February 27, 2015"
WHR,"March 10, 2017"
AAPL,"December 15, 2016"
FMC,"May 13, 2011"
BDX,"November 9, 2009"
AKAM,"February 29, 2008"
NTGR,"June 13, 2013"
ORCL,"August 25, 2008"
HUM,"November 25, 2013"
POWI,"March 4, 2014"
CAT,"November 25, 2013"
IBM,"October 12, 2011"
ZION,"March 26, 2010"
IBM,"October 5, 2010"
IBM,"May 5, 2014"
NVDA,"May 4, 2015"
LLY,"May 18, 2017"
NVDA,"February 29, 2012"
HPE,"October 7, 2016"
BAX,"January 30, 2009"
STI,"November 25, 2013"
VSAT,"April 24, 2014"
BSX,"May 11, 2011"
CBS,"September 15, 2014"
YHOO,"April 15, 2011"
RAD,"November 25, 2013"
CSCO,"November 6, 2012"
TRV,"November 25, 2013"
AAPL,"November 21, 2013"
GEH,"November 25, 2013"
SYMC,"February 6, 2015"
IDTI,"February 29, 2012"
T,"March 20, 2013"
SHLD,"May 12, 2017"
SNPS,"March 10, 2016"
CFG,"March 26, 2010"
JNJ,"January 28, 2011"
CSCO,"May 17, 2010"
LZB,"March 16, 2016"
GGG,"November 17, 2016"
RHT,"April 15, 2011"
FMC,"August 26, 2009"
SYK,"February 5, 2013"
SMCI,"February 23, 2011"
CTXS,"June 18, 2012"
AVX,"January 26, 2016"
GE,"June 17, 2011"
GMED,"June 14, 2013"
HPQ,"April 9, 2008"
FFIV,"March 15, 2016"
POWI,"December 17, 2015"
TEX,"March 3, 2011"
SYX,"April 30, 2010"
CI,"November 25, 2013"
MON,"September 21, 2010"
TXN,"May 4, 2015"
AMZN,"January 23, 2014"
FDC,"March 26, 2010"
STI,"March 26, 2010"
YHOO,"May 15, 2009"
MMM,"October 22, 2008"
IBM,"May 2, 2014"
SSNI,"June 6, 2014"
AAPL,"May 2, 2014"
AAPL,"February 3, 2016"
HAS,"March 24, 2008"
HOLX,"October 17, 2011"
VZ,"March 18, 2011"
USB,"March 26, 2010"
MSFT,"November 21, 2013"
MON,"August 1, 2012"
CGNX,"May 1, 2015"
CGNX,"May 1, 2014"
IBM,"November 21, 2013"
MSFT,"May 5, 2014"
TDC,"May 26, 2017"
BBRY,"February 13, 2015"
RDWR,"March 15, 2016"
INTC,"May 5, 2014"
WFC,"March 26, 2010"
INTC,"June 13, 2013"
BXS,"March 26, 2010"
AAPL,"September 30, 2016"
TWX,"November 4, 2011"
FB,"April 5, 2013"
CSCO,"April 8, 2011"
