Stock_Ticker,Decision_Date
MMM,"January 20, 2009"
POWI,"February 12, 2009"
LLY,"January 10, 2017"
MON,"October 29, 2008"
BBY,"December 7, 2012"
SYK,"January 27, 2009"
LLY,"December 6, 2011"
DECK,"November 21, 2014"
EXTR,"November 5, 2008"
DECK,"June 14, 2016"
LLY,"June 16, 2017"
AMGN,"January 7, 2011"
MON,"September 17, 2008"
RHT,"October 13, 2010"
DECK,"July 5, 2013"
AAPL,"September 4, 2015"
TGT,"February 29, 2008"
AAPL,"January 20, 2016"
DEPO,"July 17, 2014"
V,"November 14, 2013"
NKE,"July 15, 2009"
LLY,"June 1, 2017"
AMGN,"February 29, 2008"
DEPO,"June 17, 2014"
POWI,"June 30, 2014"
VSAT,"April 24, 2014"
DECK,"September 2, 2014"
POWI,"November 16, 2016"
ENZ,"November 1, 2012"
RMBS,"March 8, 2010"
SUPN,"July 18, 2012"
DECK,"January 5, 2015"
DECK,"December 2, 2014"
AMGN,"October 17, 2008"
KMB,"January 14, 2010"
NKE,"February 7, 2012"
GE,"May 26, 2017"
MLHR,"July 31, 2013"
NOK,"June 20, 2014"
MON,"February 19, 2008"
ACOR,"April 25, 2017"
SP,"December 12, 2016"
SNY,"September 22, 2016"
SUPN,"March 27, 2013"
BRCD,"June 10, 2013"
SUPN,"October 3, 2014"
PBI,"October 16, 2008"
AAPL,"August 26, 2013"
MSFT,"May 14, 2012"
INTC,"September 4, 2015"
LLY,"July 2, 2008"
GE,"May 28, 2013"
MON,"February 16, 2010"
ITW,"October 25, 2013"
TGT,"August 9, 2010"
MON,"November 7, 2011"
BBRY,"February 4, 2015"
DEPO,"August 25, 2015"
MSFT,"December 23, 2016"
SSNI,"July 26, 2016"
WDC,"December 28, 2011"
MON,"October 16, 2008"
MON,"March 4, 2010"
DCI,"August 9, 2010"
NKE,"September 23, 2016"
TWTR,"January 27, 2012"
MON,"June 13, 2008"
AAPL,"January 15, 2010"
CIX,"January 22, 2010"
CGNX,"June 30, 2014"
AAPL,"June 24, 2011"
ILMN,"September 9, 2016"
AAPL,"September 24, 2015"
DEPO,"August 19, 2014"
AAPL,"June 26, 2012"
JCOM,"December 15, 2016"
POWI,"December 12, 2008"
CTXS,"March 20, 2013"
DEPO,"May 18, 2016"
PH,"April 22, 2008"
MSFT,"April 5, 2013"
ACOR,"January 21, 2016"
NTGR,"October 2, 2009"
MON,"February 2, 2016"
MASI,"October 1, 2014"
WHR,"April 6, 2016"
HON,"February 5, 2014"
ALG,"March 8, 2013"
MITK,"October 8, 2013"
MSFT,"April 11, 2012"
ACOR,"December 22, 2015"
SUPN,"September 12, 2012"
MMM,"June 21, 2012"
LLY,"March 31, 2010"
MON,"September 30, 2013"
FFIV,"September 7, 2016"
STI,"May 20, 2016"
ROK,"October 16, 2012"
HAE,"August 19, 2009"
IPGP,"December 14, 2012"
DCI,"January 25, 2011"
CREE,"June 27, 2012"
AAPL,"January 18, 2016"
IPXL,"April 17, 2017"
MON,"November 12, 2009"
AAPL,"November 7, 2012"
AMRI,"June 14, 2010"
NVDA,"April 5, 2011"
POWI,"December 18, 2015"
NKE,"February 9, 2012"
MASI,"October 17, 2014"
MON,"September 24, 2012"
DECK,"October 29, 2013"
NUVA,"September 20, 2011"
SNPS,"June 27, 2017"
VRX,"November 14, 2013"
COST,"July 17, 2008"
MON,"February 9, 2009"
MON,"July 2, 2009"
NVS,"June 9, 2017"
EBAY,"April 5, 2013"
INTC,"October 8, 2009"
SNA,"September 25, 2014"
WHR,"April 12, 2017"
MSFT,"December 26, 2012"
WHR,"May 17, 2016"
MON,"April 24, 2008"
BRCD,"February 12, 2013"
WHR,"July 20, 2016"
EXTR,"March 16, 2009"
BMY,"November 5, 2013"
NTRA,"July 19, 2016"
HON,"December 5, 2012"
FNSR,"August 2, 2013"
GRPN,"May 20, 2016"
POWI,"January 19, 2011"
ADMS,"February 16, 2016"
NVS,"September 14, 2015"
ENZ,"November 29, 2012"
PCAR,"January 5, 2015"
SYK,"August 7, 2013"
YHOO,"December 19, 2012"
NVDA,"August 12, 2013"
DCI,"February 28, 2011"
MON,"June 15, 2009"
NKE,"November 28, 2008"
ROK,"June 14, 2017"
CTXS,"September 11, 2014"
DDD,"June 20, 2013"
YHOO,"May 20, 2016"
PFE,"July 26, 2011"
MTSI,"June 16, 2014"
MON,"July 10, 2009"
BHI,"December 11, 2009"
DECK,"May 5, 2014"
AAPL,"September 19, 2014"
EXTR,"October 29, 2008"
SUPN,"February 18, 2016"
EBAY,"May 8, 2013"
DECK,"August 18, 2014"
