Stock_Ticker,Decision_Date
AAPL,"November 6, 2012"
AVX,"January 26, 2016"
AAPL,"October 1, 2010"
SNA,"April 28, 2016"
OSTK,"January 16, 2015"
IPXL,"June 22, 2012"
IBM,"July 14, 2011"
GE,"July 7, 2014"
VAR,"February 23, 2012"
YHOO,"April 29, 2010"
NVO,"February 18, 2011"
OIIM,"May 3, 2012"
BELFA,"July 11, 2011"
ATEN,"August 6, 2012"
GILD,"December 15, 2016"
ZBH,"December 30, 2011"
MSFT,"May 20, 2009"
MSFT,"November 25, 2014"
CSCO,"January 30, 2014"
TXN,"September 19, 2014"
MSFT,"August 11, 2009"
MSFT,"April 8, 2009"
AAPL,"February 24, 2015"
IPXL,"December 6, 2013"
GMED,"August 6, 2009"
MMM,"April 29, 2014"
SNY,"January 5, 2017"
CAMT,"August 11, 2011"
MSFT,"March 16, 2010"
T,"October 7, 2013"
IPXL,"July 16, 2014"
PII,"April 16, 2009"
GILD,"January 26, 2017"
IPXL,"April 24, 2013"
RTN,"March 30, 2017"
AMAT,"July 6, 2010"
LLNW,"February 29, 2008"
HOLX,"July 23, 2012"
BKS,"November 4, 2014"
HAE,"May 10, 2012"
JNJ,"September 29, 2011"
AAPL,"November 7, 2012"
RDWR,"September 7, 2016"
LLY,"May 18, 2017"
MSFT,"December 4, 2008"
AMPH,"October 28, 2011"
AVP,"November 18, 2011"
BELFA,"May 12, 2014"
AAPL,"September 14, 2016"
HOLX,"June 27, 2013"
QTM,"August 20, 2008"
CSCO,"May 25, 2017"
IPXL,"July 16, 2013"
BSX,"January 23, 2009"
MGI,"September 24, 2009"
HAS,"October 4, 2013"
MMM,"November 30, 2012"
TEX,"July 21, 2011"
AAPL,"November 25, 2014"
AAPL,"August 30, 2011"
CAMP,"April 24, 2017"
AAPL,"November 17, 2014"
TEX,"May 26, 2011"
AAPL,"September 21, 2016"
CDW,"May 7, 2009"
PRGO,"June 23, 2014"
FFIV,"August 22, 2016"
AMAT,"July 23, 2010"
AET,"June 10, 2008"
VRX,"June 12, 2015"
ELY,"March 5, 2010"
AAPL,"May 5, 2014"
AAPL,"May 5, 2017"
FOSL,"November 30, 2010"
MNTA,"July 24, 2012"
WDC,"July 26, 2011"
ILMN,"June 5, 2013"
BELFA,"April 30, 2014"
ABT,"June 29, 2009"
ILMN,"March 14, 2013"
RMBS,"March 21, 2012"
AVT,"September 13, 2016"
PRGO,"August 28, 2014"
SPLS,"January 20, 2012"
DORM,"December 11, 2009"
TGT,"November 20, 2012"
IPXL,"January 14, 2009"
NUAN,"February 4, 2014"
GMED,"June 24, 2013"
BDX,"November 9, 2009"
XLNX,"September 4, 2013"
BELFA,"December 29, 2010"
NTGR,"June 13, 2013"
DISCA,"June 16, 2010"
ITW,"December 10, 2008"
HOLX,"October 18, 2011"
WBA,"November 21, 2016"
NUAN,"November 6, 2008"
SNPS,"November 17, 2014"
VAR,"April 25, 2012"
CAMT,"July 7, 2015"
FOSL,"September 22, 2014"
AVP,"August 22, 2012"
PRGO,"April 17, 2009"
IPXL,"July 14, 2010"
HAS,"March 24, 2008"
LLY,"September 28, 2015"
CAMT,"February 9, 2015"
AMPH,"October 21, 2011"
SYMC,"June 8, 2015"
CAMT,"May 1, 2012"
BSX,"August 1, 2008"
SSNI,"December 19, 2014"
WBA,"January 3, 2017"
AVT,"January 28, 2016"
GGG,"November 17, 2016"
LLY,"April 21, 2017"
AAPL,"February 26, 2013"
AAPL,"November 21, 2014"
ATEN,"June 10, 2013"
VZ,"November 23, 2011"
AMPH,"October 7, 2011"
EGRX,"February 24, 2015"
MNTA,"March 1, 2016"
TGT,"January 3, 2014"
SHLD,"May 12, 2017"
CSCO,"May 12, 2016"
BELFA,"August 17, 2011"
BOX,"August 20, 2015"
PWR,"April 13, 2012"
ABT,"December 18, 2009"
JNJ,"January 28, 2011"
IPXL,"October 6, 2011"
